property_type,price,area,area_unit,n_bedrooms,n_bathrooms,n_floors,dimension_2,address,city_province,district,legal_docs,facing_direction,front_width,balcony_direction,raw_price,raw_area,raw_n_bedrooms,raw_n_bathrooms,scraper
Nhà hẻm ngõ,2.5,114.0,m²,3.0,2.0,1.0,13.0,"Xã Phước Đồng, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Đông Bắc,9.3,,2.5,"114 m²(9,3x13,0)",3 phòng,2 WC,Thiên
Nhà mặt tiền,55.32,283.7,m²,1.0,2.0,1.0,28.0,"Phường Tân Lập, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Tây Bắc,10.0,,55.32,"283,7 m²(10,0x28,0)",1 phòng,2 WC,Thiên
Nhà hẻm ngõ,4.5,41.0,m²,4.0,4.0,3.0,12.0,"Phường Phước Tân, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Bắc,3.8,,4.5,"41 m²(3,8x12,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,4.1,86.0,m²,4.0,4.0,,18.0,"Đường 2 Tháng 4, Phường Vĩnh Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Sổ hồng,Tây Bắc,5.0,Tây Bắc,4.1,"86 m²(5,0x18,0)",4 phòng,4 WC,Thiên
Nhà mặt tiền,5.25,68.4,m²,3.0,2.0,2.0,16.5,"Phường Vĩnh Hải, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Đông Bắc,4.0,,5.25,"68,4 m²(4,0x16,5)",3 phòng,2 WC,Thiên
Biệt thự,28.0,432.5,m²,3.0,4.0,3.0,30.0,"Phường Vĩnh Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Tây Nam,15.0,,28.0,"432,5 m²(15,0x30,0)",3 phòng,4 WC,Thiên
Nhà mặt tiền,7.2,47.0,m²,2.0,3.0,2.0,12.0,"Phường Phước Tiến, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Tây Bắc,4.0,,7.2,"47 m²(4,0x12,0)",2 phòng,3 WC,Thiên
Biệt thự,13.0,152.0,m²,,,,,"TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Hợp đồng mua bán,,,,13.0,152 m²,,,Thiên
Biệt thự,12.7,210.0,m²,3.0,4.0,3.0,13.0,"Bãi Tiên, phường Vĩnh Hòa, TP. Nha Trang, tỉnh Khá, Bãi Tiên, phường Vĩnh Hòa, TP. Nha Trang, tỉnh Khá, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Sổ hồng,,5.0,,12.7,"210 m²(5,0x13,0)",3 phòng,4 WC,Thiên
Nhà mặt tiền,0.9,40.0,m²,,,,,"Đường Thân Nhân Trung, Phường Vĩnh Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ khác,,,,0.9,40 m²,,,Thiên
