property_type,price,area,area_unit,n_bedrooms,n_bathrooms,n_floors,dimension_2,address,city_province,district,legal_docs,facing_direction,front_width,balcony_direction,raw_price,raw_area,raw_n_bedrooms,raw_n_bathrooms,scraper
Nhà mặt tiền,2.39,41.8,m²,2.0,2.0,,8.4,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,5.0,,2.39,"41,8 m²(5,0x8,4)",2 phòng,2 WC,Thiên
Nhà mặt tiền,2.99,86.0,m²,2.0,2.0,2.0,15.0,"Phường Trà An, Quận Bình Thuỷ, Cần Thơ",Cần Thơ,Quận Bình Thuỷ,Giấy tờ hợp lệ,Đông Nam,6.0,,2.99,"86 m²(6,0x15,0)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.18,87.5,m²,2.0,1.0,1.0,17.5,"Phường Tân An, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,5.0,,2.18,"87,5 m²(5,0x17,5)",2 phòng,1 WC,Thiên
Nhà mặt tiền,3.09,70.0,m²,3.0,2.0,,15.0,"Phường Thới Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,4.3,,3.09,"70 m²(4,3x15,0)",3 phòng,2 WC,Thiên
Nhà mặt tiền,13.0,63.0,m²,3.0,3.0,2.0,16.0,"Phường An Lạc, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Bắc,3.9,,13.0,"63 m²(3,9x16,0)",3 phòng,3 WC,Thiên
Nhà mặt tiền,14.0,81.0,m²,3.0,3.0,1.0,15.0,"Phường An Cư, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Bắc,5.4,,14.0,"81 m²(5,4x15,0)",3 phòng,3 WC,Thiên
Nhà hẻm ngõ,3.7,80.0,m²,3.0,3.0,2.0,16.0,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,5.0,,3.7,"80 m²(5,0x16,0)",3 phòng,3 WC,Thiên
Nhà mặt tiền,14.5,133.0,m²,7.0,3.0,,25.0,"Phường Hưng Phú, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,,5.3,,14.5,"133 m²(5,3x25,0)",7 phòng,3 WC,Thiên
Nhà mặt tiền,2.5,70.0,m²,2.0,2.0,,17.0,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,4.1,,2.5,"70 m²(4,1x17,0)",2 phòng,2 WC,Thiên
Nhà mặt tiền,3.75,56.0,m²,4.0,3.0,2.0,14.0,"Phường Long Hòa, Quận Bình Thuỷ, Cần Thơ",Cần Thơ,Quận Bình Thuỷ,Giấy tờ hợp lệ,Tây Bắc,4.0,,3.75,"56 m²(4,0x14,0)",4 phòng,3 WC,Thiên
Nhà mặt tiền,8.3,77.6,m²,5.0,5.0,4.0,17.3,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Bắc,4.5,,8.3,"77,6 m²(4,5x17,3)",5 phòng,5 WC,Thiên
Nhà mặt tiền,4.45,83.2,m²,3.0,3.0,1.0,20.8,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Nam,4.0,,4.45,"83,2 m²(4,0x20,8)",3 phòng,3 WC,Thiên
Nhà mặt tiền,8.3,77.6,m²,5.0,5.0,3.0,17.3,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,4.5,,8.3,"77,6 m²(4,5x17,3)",5 phòng,5 WC,Thiên
Nhà mặt tiền,5.3,77.5,m²,4.0,4.0,2.0,22.0,"Phường An Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông,3.4,,5.3,"77,5 m²(3,4x22,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,1.95,40.0,m²,2.0,2.0,2.0,8.0,"Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,5.0,,1.95,"40 m²(5,0x8,0)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,3.79,63.0,m²,3.0,3.0,1.0,12.0,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,5.2,,3.79,"63 m²(5,2x12,0)",3 phòng,3 WC,Thiên
Nhà hẻm ngõ,2.55,40.0,m²,3.0,2.0,2.0,7.0,"Phường An Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Nam,5.5,,2.55,"40 m²(5,5x7,0)",3 phòng,2 WC,Thiên
Nhà mặt tiền,5.65,90.0,m²,3.0,2.0,2.0,20.0,"Phường An Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Bắc,4.5,,5.65,"90 m²(4,5x20,0)",3 phòng,2 WC,Thiên
Nhà mặt tiền,8.3,77.6,m²,5.0,7.0,3.0,17.3,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,4.5,,8.3,"77,6 m²(4,5x17,3)",5 phòng,7 WC,Thiên
Nhà hẻm ngõ,2.59,45.0,m²,2.0,2.0,2.0,10.0,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Nam,4.5,,2.59,"45 m²(4,5x10,0)",2 phòng,2 WC,Thiên
Nhà mặt tiền,8.3,77.6,m²,5.0,7.0,4.0,17.3,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,4.5,,8.3,"77,6 m²(4,5x17,3)",5 phòng,7 WC,Thiên
Nhà mặt tiền,5.2,110.0,m²,4.0,4.0,2.0,22.0,"Phường Hưng Phú, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Bắc,5.0,,5.2,"110 m²(5,0x22,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,2.8,72.0,m²,2.0,2.0,1.0,16.0,"Phường An Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,4.5,,2.8,"72 m²(4,5x16,0)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,1.7,34.5,m²,2.0,2.0,2.0,7.5,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Bắc,4.6,,1.7,"34,5 m²(4,6x7,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.85,48.0,m²,2.0,2.0,2.0,12.0,"Phường An Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Nam,4.0,,2.85,"48 m²(4,0x12,0)",2 phòng,2 WC,Thiên
Nhà mặt tiền,2.0,70.0,m²,2.0,2.0,,14.0,"Phường Hưng Phú, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,,5.0,,2.0,"70 m²(5,0x14,0)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,3.09,70.6,m²,3.0,2.0,2.0,15.0,"Phường Thới Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Nam,4.3,,3.09,"70,6 m²(4,3x15,0)",3 phòng,2 WC,Thiên
Nhà mặt tiền,5.95,80.0,m²,4.0,4.0,2.0,16.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Nam,5.0,,5.95,"80 m²(5,0x16,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,1.88,60.8,m²,2.0,1.0,1.0,15.0,"Phường An Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,4.1,,1.88,"60,8 m²(4,1x15,0)",2 phòng,1 WC,Thiên
Nhà mặt tiền,5.3,80.0,m²,4.0,5.0,2.0,14.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Nam,5.7,,5.3,"80 m²(5,7x14,0)",4 phòng,5 WC,Thiên
Nhà mặt tiền,5.89,85.0,m²,5.0,4.0,3.0,17.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Bắc,5.0,,5.89,"85 m²(5,0x17,0)",5 phòng,4 WC,Thiên
Nhà hẻm ngõ,2.79,45.0,m²,2.0,2.0,1.0,9.0,"Phường Tân An, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Nam,5.0,,2.79,"45 m²(5,0x9,0)",2 phòng,2 WC,Thiên
Nhà mặt tiền,8.3,77.6,m²,4.0,5.0,3.0,17.3,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,4.5,,8.3,"77,6 m²(4,5x17,3)",4 phòng,5 WC,Thiên
Nhà mặt tiền,5.29,80.0,m²,4.0,4.0,3.0,16.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Bắc,5.0,,5.29,"80 m²(5,0x16,0)",4 phòng,4 WC,Thiên
Nhà mặt tiền,4.15,40.0,m²,4.0,3.0,3.0,10.0,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Bắc,4.0,,4.15,"40 m²(4,0x10,0)",4 phòng,3 WC,Thiên
Nhà hẻm ngõ,3.89,42.0,m²,4.0,4.0,4.0,7.2,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Bắc,6.0,,3.89,"42 m²(6,0x7,2)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.79,62.4,m²,3.0,,2.0,12.0,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Bắc,5.2,,3.79,"62,4 m²(5,2x12,0)",3 phòng,,Thiên
Nhà mặt tiền,2.78,70.0,m²,3.0,,2.0,17.5,"Phường Phú Thứ, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Bắc,4.0,,2.78,"70 m²(4,0x17,5)",3 phòng,,Thiên
Nhà mặt tiền,3.75,65.0,m²,3.0,,2.0,13.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Nam,5.0,,3.75,"65 m²(5,0x13,0)",3 phòng,,Thiên
Nhà hẻm ngõ,5.58,62.0,m²,3.0,4.0,3.0,15.2,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Nam,4.0,,5.58,"62 m²(4,0x15,2)",3 phòng,4 WC,Thiên
Nhà hẻm ngõ,2.49,42.0,m²,2.0,2.0,2.0,7.0,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,6.3,,2.49,"42 m²(6,3x7,0)",2 phòng,2 WC,Thiên
Nhà mặt tiền,5.29,80.0,m²,3.0,4.0,3.0,16.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Bắc,5.0,,5.29,"80 m²(5,0x16,0)",3 phòng,4 WC,Thiên
Nhà mặt tiền,5.8,85.0,m²,4.0,,2.0,17.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Bắc,5.0,,5.8,"85 m²(5,0x17,0)",4 phòng,,Thiên
Nhà hẻm ngõ,2.85,43.3,m²,3.0,2.0,1.0,13.7,"Phường Thới Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Nam,3.2,,2.85,"43,3 m²(3,2x13,7)",3 phòng,2 WC,Thiên
Nhà mặt tiền,5.8,80.0,m²,5.0,4.0,3.0,16.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Nam,5.0,,5.8,"80 m²(5,0x16,0)",5 phòng,4 WC,Thiên
Nhà hẻm ngõ,1.25,43.0,m²,2.0,,,,"Phường Bình Thủy, Quận Bình Thuỷ, Cần Thơ",Cần Thơ,Quận Bình Thuỷ,Giấy tờ hợp lệ,,,,1.25,43 m²,2 phòng,,Thiên
Nhà hẻm ngõ,2.29,40.0,m²,2.0,2.0,1.0,10.0,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,4.0,,2.29,"40 m²(4,0x10,0)",2 phòng,2 WC,Thiên
Nhà mặt tiền,5.8,500.0,m²,1.0,,,50.0,"Xã Long Hưng, Quận Ô Môn, Cần Thơ",Cần Thơ,Quận Ô Môn,Giấy tờ hợp lệ,,10.0,,5.8,"500 m²(10,0x50,0)",1 phòng,,Thiên
Nhà hẻm ngõ,2.09,36.0,m²,2.0,2.0,1.0,9.0,"Phường Thới Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Bắc,4.0,,2.09,"36 m²(4,0x9,0)",2 phòng,2 WC,Thiên
Nhà mặt tiền,13.6,428.0,m²,6.0,4.0,,33.0,"Phường Thường Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,,13.0,,13.6,"428 m²(13,0x33,0)",6 phòng,4 WC,Thiên
Nhà mặt tiền,2.65,40.0,m²,2.0,2.0,,10.0,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,4.0,,2.65,"40 m²(4,0x10,0)",2 phòng,2 WC,Thiên
Nhà mặt tiền,15.0,240.0,m²,5.0,6.0,4.0,24.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Bắc,10.0,,15.0,"240 m²(10,0x24,0)",5 phòng,6 WC,Thiên
Nhà mặt tiền,5.95,80.0,m²,4.0,4.0,3.0,16.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Nam,5.0,,5.95,"80 m²(5,0x16,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.65,67.0,m²,3.0,2.0,2.0,16.0,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,4.3,,3.65,"67 m²(4,3x16,0)",3 phòng,2 WC,Thiên
Nhà hẻm ngõ,1.58,28.1,m²,2.0,2.0,3.0,7.5,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Nam,3.8,,1.58,"28,1 m²(3,8x7,5)",2 phòng,2 WC,Thiên
Nhà mặt tiền,2.9,56.9,m²,2.0,2.0,,12.8,"Phường Cái Khế, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,4.3,,2.9,"56,9 m²(4,3x12,8)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,3.85,82.8,m²,5.0,3.0,1.0,18.4,"Phường Tân An, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Bắc,4.5,,3.85,"82,8 m²(4,5x18,4)",5 phòng,3 WC,Thiên
Nhà mặt tiền,15.0,110.8,m²,3.0,,,26.0,"Phường Tân An, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Nam,4.2,,15.0,"110,8 m²(4,2x26,0)",3 phòng,,Thiên
Nhà mặt tiền,2.65,80.0,m²,3.0,2.0,1.0,20.0,"Phường Phú Thứ, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Bắc,4.0,,2.65,"80 m²(4,0x20,0)",3 phòng,2 WC,Thiên
Nhà mặt tiền,5.58,60.0,m²,3.0,,,15.0,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,4.0,,5.58,"60 m²(4,0x15,0)",3 phòng,,Thiên
Nhà mặt tiền,8.5,114.0,m²,4.0,4.0,,19.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Nam,6.0,,8.5,"114 m²(6,0x19,0)",4 phòng,4 WC,Thiên
Nhà mặt tiền,2.65,70.0,m²,2.0,2.0,1.0,15.5,"Phường Thường Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Bắc,4.5,,2.65,"70 m²(4,5x15,5)",2 phòng,2 WC,Thiên
Nhà mặt tiền,5.58,61.0,m²,4.0,5.0,2.0,15.0,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Nam,4.0,,5.58,"61 m²(4,0x15,0)",4 phòng,5 WC,Thiên
Nhà hẻm ngõ,3.39,88.7,m²,3.0,3.0,1.0,18.1,"Phường Lê Bình, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Bắc,5.0,,3.39,"88,7 m²(5,0x18,1)",3 phòng,3 WC,Thiên
Nhà mặt tiền,5.95,80.0,m²,5.0,4.0,3.0,16.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Nam,5.0,,5.95,"80 m²(5,0x16,0)",5 phòng,4 WC,Thiên
Nhà mặt tiền,4.9,94.0,m²,2.0,2.0,2.0,19.0,"Phường Thới Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây,4.9,,4.9,"94 m²(4,9x19,0)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,3.09,48.2,m²,3.0,2.0,1.0,10.4,"Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Nam,4.6,,3.09,"48,2 m²(4,6x10,4)",3 phòng,2 WC,Thiên
Nhà mặt tiền,0.37,52.0,m²,1.0,1.0,,13.0,"Phường Phước Thới, Quận Ô Môn, Cần Thơ",Cần Thơ,Quận Ô Môn,Hợp đồng mua bán,Đông,4.0,,0.37,"52 m²(4,0x13,0)",1 phòng,1 WC,Thiên
Biệt thự,13.6,438.0,m²,4.0,4.0,2.0,33.0,"Phường Phú Thứ, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Nam,13.0,,13.6,"438 m²(13,0x33,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,1.5,66.0,m²,4.0,4.0,2.0,11.0,"Phường Trà Nóc, Quận Bình Thuỷ, Cần Thơ",Cần Thơ,Quận Bình Thuỷ,Giấy tờ hợp lệ,Đông Nam,6.0,,1.5,"66 m²(6,0x11,0)",4 phòng,4 WC,Thiên
Nhà mặt tiền,5.95,80.0,m²,5.0,4.0,3.0,16.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Nam,5.0,,5.95,"80 m²(5,0x16,0)",5 phòng,4 WC,Thiên
Biệt thự,9.0,300.0,m²,4.0,4.0,2.0,35.0,"Phường An Thới, Quận Bình Thuỷ, Cần Thơ",Cần Thơ,Quận Bình Thuỷ,Giấy tờ hợp lệ,Đông Nam,8.5,,9.0,"300 m²(8,5x35,0)",4 phòng,4 WC,Thiên
Nhà mặt tiền,5.75,90.0,m²,4.0,4.0,4.0,18.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Nam,5.0,,5.75,"90 m²(5,0x18,0)",4 phòng,4 WC,Thiên
Nhà mặt tiền,5.99,100.0,m²,4.0,4.0,3.0,20.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Bắc,5.0,,5.99,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà mặt tiền,2.5,70.0,m²,3.0,2.0,1.0,17.5,"Phường Phú Thứ, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Nam,4.0,,2.5,"70 m²(4,0x17,5)",3 phòng,2 WC,Thiên
Nhà hẻm ngõ,4.1,250.0,m²,2.0,1.0,1.0,50.0,"54/10, Đường Hồ Trung Thành, Phường Trà An, Quận Bình Thuỷ, Cần Thơ",Cần Thơ,Quận Bình Thuỷ,Sổ đỏ,Tây Nam,5.0,Tây Nam,4.1,"250 m²(5,0x50,0)",2 phòng,1 WC,Thiên
Nhà mặt tiền,13.0,73.9,m²,2.0,2.0,,,"Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,,,13.0,"73,9 m²",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.78,48.4,m²,2.0,2.0,2.0,11.0,"Phường An Cư, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,4.5,,2.78,"48,4 m²(4,5x11,0)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.59,43.6,m²,2.0,2.0,1.0,6.3,"Phường Thới Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Nam,6.8,,2.59,"43,6 m²(6,8x6,3)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.48,74.0,m²,2.0,1.0,1.0,19.0,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Nam,4.0,,2.48,"74 m²(4,0x19,0)",2 phòng,1 WC,Thiên
Nhà mặt tiền,5.5,80.0,m²,4.0,4.0,3.0,14.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Nam,5.7,,5.5,"80 m²(5,7x14,0)",4 phòng,4 WC,Thiên
Nhà mặt tiền,8.3,77.0,m²,5.0,5.0,3.0,17.3,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,4.5,,8.3,"77 m²(4,5x17,3)",5 phòng,5 WC,Thiên
Nhà hẻm ngõ,3.65,44.5,m²,3.0,3.0,3.0,4.5,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Nam,9.8,,3.65,"44,5 m²(9,8x4,5)",3 phòng,3 WC,Thiên
Nhà hẻm ngõ,4.2,100.0,m²,4.0,4.0,3.0,20.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,,5.0,,4.2,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà mặt tiền,6.8,100.0,m²,4.0,4.0,4.0,20.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Nam,5.0,,6.8,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà mặt tiền,4.99,46.0,m²,5.0,5.0,3.0,11.6,"Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,4.0,,4.99,"46 m²(4,0x11,6)",5 phòng,5 WC,Thiên
Nhà mặt tiền,3.45,50.0,m²,3.0,3.0,1.0,10.0,"Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,5.0,,3.45,"50 m²(5,0x10,0)",3 phòng,3 WC,Thiên
Nhà hẻm ngõ,3.99,66.0,m²,3.0,4.0,2.0,17.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,,4.5,,3.99,"66 m²(4,5x17,0)",3 phòng,4 WC,Thiên
Nhà mặt tiền,7.9,100.0,m²,4.0,5.0,4.0,20.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Nam,5.0,,7.9,"100 m²(5,0x20,0)",4 phòng,5 WC,Thiên
Nhà mặt tiền,5.79,80.0,m²,4.0,4.0,3.0,16.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Nam,5.0,,5.79,"80 m²(5,0x16,0)",4 phòng,4 WC,Thiên
Nhà mặt tiền,5.89,85.0,m²,4.0,5.0,3.0,17.0,"Đường Khu dân cư Hồng Loan, Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Sổ hồng,Đông Bắc,5.0,Đông Bắc,5.89,"85 m²(5,0x17,0)",4 phòng,5 WC,Thiên
Nhà hẻm ngõ,3.09,70.0,m²,3.0,2.0,2.0,15.0,"Phường Thới Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,4.3,,3.09,"70 m²(4,3x15,0)",3 phòng,2 WC,Thiên
Nhà mặt tiền,16.5,108.0,m²,5.0,6.0,4.0,24.0,"Phường An Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,4.5,,16.5,"108 m²(4,5x24,0)",5 phòng,6 WC,Thiên
