property_type,price,area,n_bedrooms,n_bathrooms,n_floors,legal,interior,facing_direction,balcony_direction,front_width,front_road_width,title,latitude,longitude,verified,location,location_details,date_of_posting,url
Nhà mặt phố,91 tỷ,170 m²,,,10 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,"7,5 m",,Siêu phẩm Apartment Tô Ngọc Vân 10 tầng thiết kế hiện đại nhiều công năng 170m2 - 91 tỷ,21.0679839390565,105.822126667075,0,"Tây Hồ, Hà Nội","Đường Tô Ngọc Vân, Phường Tứ Liên, Tây Hồ, Hà Nội",11/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-to-ngoc-van-phuong-tu-lien/sieu-pham-apartment-10-tang-thiet-ke-hien-dai-nhieu-cong-nang-170m-91ty-pr44509331
Nhà mặt phố,63 tỷ,140 m²,7 phòng,4 phòng,4 tầng,,,,,,,"Hàng Vip mặt phố Núi Trúc, nhà 4Tầng DT 140m2, mặt tiền cực rộng",21.0296585045113,105.822946897801,0,"Ba Đình, Hà Nội","Đường Núi Trúc, Phường Giảng Võ, Ba Đình, Hà Nội",11/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nui-truc-phuong-giang-vo/hang-vip-4tang-dt-140m2-tien-cuc-rong-pr44504705
Nhà mặt phố,38 tỷ,100 m²,4 phòng,,3 tầng,,,,,,,"Mặt phố cực đẹp Pháo Đài Láng trung tâm DT 100m2 3T mặt tiền khủng, giá chỉ 38 tỷ",21.0185479790076,105.803911322142,0,"Đống Đa, Hà Nội","Phố Pháo Đài Láng, Phường Láng Thượng, Đống Đa, Hà Nội",09/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-pho-phao-dai-lang-phuong-lang-thuong/-cuc-dep-trung-tam-dt-100m2-3t-tien-khung-gia-chi-38-ty-pr44750551
Nhà mặt phố,"13,3 tỷ",140 m²,8 phòng,9 phòng,4 tầng,Sổ đỏ/ Sổ hồng,,,,7 m,12 m,Bán nhà KDC Conic gần KDC Lê Bôi- 4 tầng 8 phòng master - 7x20m DT sàn: 331m2 - chỉ 13.8 tỷ,10.718057887187776,106.63736347401309,0,"Bình Chánh, Hồ Chí Minh","Dự án Conic Garden, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh",18/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-van-linh-xa-phong-phu-4-prj-conic-garden/ban-kdc-4-tang-8-master-shr-hoan-cong-du-7x20m-dt-san-331m2-chi-13-8-ty-pr44348565
Nhà mặt phố,"37,5 tỷ",85 m²,,,7 tầng,,,,,6 m,,"Chính chủ cần bán mặt phố Yên Phụ DT 85m2 MT rộng 6m 2 tầng hầm, chỉ vài bước ra Hồ Tây",21.0534303653626,105.839468914205,0,"Tây Hồ, Hà Nội","Đường Yên Phụ, Phường Yên Phụ, Tây Hồ, Hà Nội",10/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-yen-phu-phuong-yen-phu-1/chinh-chu-can-ban-dt-85m2-mt-rong-6m-2-tang-ham-chi-vai-buoc-ra-ho-tay-pr43795596
Nhà mặt phố,36 tỷ,58 m²,6 phòng,4 phòng,4 tầng,,,,,5 m,,"Hàng Hiếm, DT 58m² Mặt Phố Nguyễn Phong Sắc, mặt tiền rộng 5m giá chỉ 36tỷ",21.039451852033,105.79004473821,0,"Cầu Giấy, Hà Nội","Đường Nguyễn Phong Sắc, Phường Dịch Vọng, Cầu Giấy, Hà Nội",10/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-phong-sac-phuong-dich-vong/hang-hiem-dt-58m-ng-tien-rong-5m-gia-chi-36ty-pr43735205
Nhà mặt phố,48 tỷ,83 m²,6 phòng,5 phòng,5 tầng,,,,,"4,1 m",,"Bán nhà 5 Tầng mặt phố Khâm Thiên, vỉa hè cực rộng, vị trí đẹp DT 83m2",21.019052454797,105.835863630757,0,"Đống Đa, Hà Nội","Phố Khâm Thiên, Phường Văn Miếu - Quốc Tử Giám, Đống Đa, Hà Nội",05/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-pho-kham-thien-phuong-van-mieu-quoc-tu-giam/ban-5-tang-via-he-cuc-rong-vi-tri-dep-dt-83m2-pr44448486
Nhà mặt phố,"23,5 tỷ",52 m²,6 phòng,4 phòng,5 tầng,,,,,5 m,,"Nhà siêu đẹp mặt phố Trường Chinh, vỉa hè cực rộng vừa ở vừa kinh doanh đều được DT 52m2",21.0019568723128,105.824182563605,0,"Thanh Xuân, Hà Nội","Đường Trường Chinh, Phường Khương Trung, Thanh Xuân, Hà Nội",10/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-truong-chinh-phuong-khuong-trung/-sieu-dep-via-he-cuc-rong-vua-o-vua-kinh-doanh-deu-duoc-dt-52m2-pr44424594
Nhà mặt phố,"29,5 tỷ",60 m²,,,4 tầng,,,,,"4,3 m",,"BÁN NHÀ MẶT PHỐ LẠC TRUNG TRUNG TÂM HAI BÀ TRƯNG DT 60m MT 4,3m GIÁ CHỈ 29,5 TỶ",21.0031487267018,105.865905989449,0,"Hai Bà Trưng, Hà Nội","Phố Lạc Trung, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",10/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-pho-lac-trung-phuong-vinh-tuy/ban-tam-hai-ba-dt-60m-mt-4-3m-gia-chi-29-5-ty-pr43883677
Nhà mặt phố,34 tỷ,74 m²,3 phòng,4 phòng,4 tầng,,,,,4 m,,BÁN GẤP MẶT PHỐ YÊN PHỤ DÒNG TIỀN 40TR/THÁNG VỊ TRÍ VÀNG 34 TỶ,21.0431051621666,105.848023227859,0,"Ba Đình, Hà Nội","Đường Yên Phụ, Phường Nguyễn Trung Trực, Ba Đình, Hà Nội",10/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-yen-phu-phuong-nguyen-trung-truc/ban-gap-dong-tien-40tr-thang-vi-tri-vang-34-ty-pr43578907
Nhà mặt phố,"8,9 tỷ","107,8 m²",5 phòng,4 phòng,4 tầng,Sổ đỏ/ Sổ hồng.,Cơ bản.,,,"7,7 m",10 m,"(Hot) Nhà đẹp 4 tấm rưỡi ngang khủng 7,7mx14m trung tâm K300 xe hơi nằm nhà chỉ 8 tỷ nhỉnh! Quá rẻ",10.7887737,106.6614004,0,"Tân Bình, Hồ Chí Minh","Đường K300, Phường 12, Tân Bình, Hồ Chí Minh",18/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-k300-phuong-12-10/-hot-dep-4-tam-ruoi-ngang-khung-7-7mx14m-trung-tam-xe-hoi-nam-chi-8-ty-nhinh-qua-re-pr36176052
Nhà mặt phố,80 tỷ,377 m²,,,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,18 m,16 m,Siêu phẩm căn góc 2 mặt tiền hiếm nhất An Phú - 18x20m - HĐT 80tr/th - 4tầng - Giá chỉ còn 212tr/m2,10.79901654999,106.742234098267,0,"Quận 2, Hồ Chí Minh","Đường Dương Văn An, Phường An Phú, Quận 2, Hồ Chí Minh",18/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-duong-van-an-phuong-an-phu/sieu-pham-c-goc-2-tien-hiem-nhat-18x20m-hdt-80tr-th-4tg-gia-chi-con-212tr-m2-pr44837707
Nhà mặt phố,"4,9 tỷ",300 m²,3 phòng,3 phòng,,Sổ đỏ/ Sổ hồng,Cơ bản,,,10 m,8 m,"Chủ kẹt bán nhanh cặp trọ 300m2 khu đô thị Mỹ Phước 3, HCM(Thới Hoà Bình Dương)LH 0937 948 ***",11.0963891114171,106.633251107929,0,"Bến Cát, Bình Dương","Dự án Mỹ Phước 3, Đường NG2, Chánh Phú Hoà, Hồ Chí Minh( Bình Dương)",18/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-ng2-phuong-thoi-hoa-prj-khu-do-thi-my-phuoc-3/chu-ket-ban-nhanh-cap-tro-300m2-3-ben-cat-binh-gia-chi-4ty2-lh-pr41678072
Nhà mặt phố,"2,58 tỷ",150 m²,2 phòng,1 phòng,1 tầng,Sổ đỏ/ Sổ hồng.,Cơ bản,,,5 m,8 m,"Bán nhà trọ mới Mỹ Phước 3 Bến Cát Bình Dương. 150m2 vị trí đẹp, giá 2,48 tỷ. LH: 0937 948 ***",11.096576414870988,106.6329199672925,0,"Bến Cát, Bình Dương","Dự án Mỹ Phước 3, Đường NL, Phường Thới Hòa, Bến Cát, Bình Dương",18/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nl-phuong-thoi-hoa-prj-khu-do-thi-my-phuoc-3/ban-tro-moi-3-ben-cat-binh-150m2-vi-tri-dep-gia-2ty080-lh-pr40822184
Nhà mặt phố,122 tỷ,165 m²,,,9 tầng,Sổ đỏ/ Sổ hồng,,,,"7,5 m",,"Bán nhà mặt phố Trường Chinh, Đống Đa, 165m2*9 tầng, MT 7.5m, ôtô dừng đỗ ngày đêm, kinh doanh đỉnh",20.9985554381043,105.837682885721,0,"Đống Đa, Hà Nội","Đường Trường Chinh, Phường Phương Mai, Đống Đa, Hà Nội",18/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-truong-chinh-phuong-phuong-mai/ban-dong-da-165m2-9-tang-mt-7-5m-oto-dung-do-ngay-dem-kinh-doanh-dinh-pr44837695
Căn hộ chung cư,"23,5 tỷ",111 m²,3 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,Đông - Bắc,,,"Giá tốt nhất-Chính chủ bán gấp căn 3PN tại Vinhomes Bason (Còn thương lượng), view sông 2 mặt kính",10.7845795622129,106.703579492401,0,"Quận 1, Hồ Chí Minh","Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",15/12/2025,https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-ton-duc-thang-phuong-ben-nghe-prj-vinhomes-golden-river-ba-son/that-100-ban-3pn-gia-tot-nhat-tai-view-song-va-quan-1-dep-nhat-du-an-pr44695781
