property_type,price,area,n_bedrooms,n_bathrooms,n_floors,legal,interior,facing_direction,balcony_direction,front_width,front_road_width,title,latitude,longitude,verified,location,location_details,date_of_posting,url
Nhà riêng,"9,4 tỷ","84,2 m²",4 phòng,5 phòng,3 tầng,Sổ hồng.,Đầy đủ.,,,5 m,8 m,Quá mê nhà phố hiện có thang máy nằm trong khu dân cư compoud có bảo vệ Huỳnh Tấn Phát - giá 9.4 tỷ,10.6787037988557,106.753471374815,1,"Nhà Bè, Hồ Chí Minh","Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",11/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-xa-phu-xuan/qua-me-pho-hien-co-thang-may-nam-trong-khu-dan-cu-compoud-co-bao-ve-gia-9-4-ty-pr43554175
Nhà riêng,"12,5 tỷ",50 m²,4 phòng,4 phòng,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,4 m,4 m,"Nhà đẹp gần chợ Bến Thành, 4x13m, 4 tầng, hẻm xe hơi 4m. Giá chỉ 12.5 tỷ",10.7670346856032,106.700110645404,1,"Quận 1, Hồ Chí Minh","Đường Calmette, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh",11/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-calmette-phuong-nguyen-thai-binh/-dep-gan-cho-ben-thanh-4x13m-4-tang-hem-xe-hoi-4m-gia-chi-nhinh-12-ti-pr44584882
Nhà riêng,"19,99 tỷ",179 m²,1 phòng,1 phòng,1 tầng,Sổ đỏ/ Sổ hồng,Không nội thất,,,8 m,10 m,"Hẻm 10m kinh doanh, 8m x 23m, đối diện công viên, gần công viên Làng Hoa, Nguyễn Văn Khối",10.8435860699501,106.649386754667,1,"Gò Vấp, Hồ Chí Minh","Đường Nguyễn Văn Khối, Phường 9, Gò Vấp, Hồ Chí Minh",12/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-khoi-phuong-9-11/hem-10m-kinh-doanh-8m-x-23m-doi-dien-cong-vien-gan-cong-vien-lang-hoa-khoi-pr43407582
Nhà riêng,11 tỷ,"48,5 m²",4 phòng,4 phòng,4 tầng,Sổ đỏ.,,,,"3,7 m",3 m,"Bán nhà góc Nguyễn Thị Minh Khai, trung tâm Quận 3 - 4 tầng, 4PN, 4WC và sân thượng - Giá 11 tỷ",10.7748464714843,106.690360956666,1,"Quận 3, Hồ Chí Minh","Đường Nguyễn Thị Minh Khai, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",11/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-thi-minh-khai-phuong-vo-thi-sau/ban-goc-2mt-quan-3-4pn-4wc-san-thuong-gia-11-ty-pr44637729
Nhà riêng,"6,5 tỷ","30,8 m²",5 phòng,,5 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,,"Quận 10 - Vĩnh Viễn bán nhà gần mặt tiền đường, 5 tầng chỉ 6.5 tỷ",10.7641845457465,106.670242882247,1,"Quận 10, Hồ Chí Minh","Đường Vĩnh Viễn, Phường 4, Quận 10, Hồ Chí Minh",05/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-vinh-vien-phuong-4-16/quan-10-ban-gan-mat-tien-5-tang-chi-6-5-t-y-pr44595779
Nhà riêng,"13,5 tỷ",42 m²,5 phòng,6 phòng,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,3 m,"Bán nhà hẻm xe hơi Đề Thám, Quận 1 - Lô góc, gần Bùi Viện, Khai Thác BNB hay AirBnB ~ 65tr/tháng",10.7651533513585,106.694954396411,1,"Quận 1, Hồ Chí Minh","Đường Đề Thám, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",08/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-de-tham-phuong-cau-ong-lanh/-hem-xe-hoi-quan-1-lo-goc-gan-pho-di-bo-bui-vien-toi-uu-cho-thue-homestay-bnb-airbnb-pr44542650
Nhà riêng,"13,8 tỷ",72 m²,10 phòng,10 phòng,6 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,4 m,8 m,Chính nhà bán nhà sát mặt tiền Phạm Văn Đồng - Nhà mới 6 tầng có thang máy - Sẳn phòng 10PN master.,10.8234409533823,106.704144443586,1,"Bình Thạnh, Hồ Chí Minh","Đường Phạm Văn Đồng, Phường 13, Bình Thạnh, Hồ Chí Minh",11/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-van-dong-phuong-13-7/chinh-ban-sat-mat-tien-moi-6-tang-co-thang-may-san-phong-10pn-master-pr44538130
Nhà riêng,"6,7 tỷ",59 m²,2 phòng,3 phòng,2 tầng,Sổ đỏ/ Sổ hồng.,,,,,3 m,Giảm 400tr nhà 2 mặt tiền hẻm Nguyễn Du Gò Vấp,10.8267709289443,106.686111774905,1,"Gò Vấp, Hồ Chí Minh","Đường Nguyễn Du, Phường 7, Gò Vấp, Hồ Chí Minh",15/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-du-phuong-7-10/giam-400tr-2-mat-tien-hem-go-vap-pr44805573
Nhà riêng,"6,7 tỷ",168 m²,2 phòng,1 phòng,1 tầng,Sổ đỏ/ Sổ hồng,Cơ bản.,,,"4,5 m",5 m,"Bán nhà hẻm ô tô gần chợ đầu mối Thủ Đức, cầu vượt Gò Dưa, Ngô Chí Quốc,KCX Linh Trung,trường, 6.7T",10.8869115842398,106.723821465882,1,"Thủ Đức, Hồ Chí Minh","Đường Ngô Chí Quốc, Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh",15/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-ngo-chi-quoc-phuong-binh-chieu/ban-hem-o-to-gan-cho-dau-moi-thu-duc-cau-vuot-go-dua-kcx-linh-trung-truong-6-7-t-pr44806578
Nhà riêng,"6,5 tỷ",30 m²,3 phòng,4 phòng,5 tầng,Sổ đỏ/ Sổ hồng,Cơ bản,Tây,Tây,"3,6 m","2,5 m",Bán nhà mới xây Phúc Lợi - ô tô qua cổng - thiết kế 5 tầng hiện đại!,21.0388077040215,105.934802315,1,"Long Biên, Hà Nội","Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội",03/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-phuc-loi-phuong-phuc-loi/ban-moi-xay-o-to-qua-cong-thiet-ke-5-tang-hien-dai-pr44703506
Nhà riêng,"11,9 tỷ","54,1 m²",4 phòng,,4 tầng,Sổ đỏ/ Sổ hồng,,,,,6 m,Bán nhà mới hẻm 6m đường Lê Văn Thọ - full nội thất - hệ thống thang máy cao cấp,10.8423577412961,106.657355197544,1,"Gò Vấp, Hồ Chí Minh","Đường Lê Văn Thọ, Phường 11, Gò Vấp, Hồ Chí Minh",12/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-tho-phuong-11-8/ban-moi-hem-6m-full-noi-that-he-ng-thang-may-cao-cap-pr44303546
Nhà riêng,"9,3 tỷ",73 m²,5 phòng,5 phòng,5 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,4 m,8 m,"HXH khu VIP Trần Thị Trọng, P. 15, Tân Bình, nhà 5 tầng, 4x18,4m, 9.3 tỷ",10.8264577266613,106.635959948387,1,"Tân Bình, Hồ Chí Minh","Đường Trần Thị Trọng, Phường 15, Tân Bình, Hồ Chí Minh",08/12/2025,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-thi-trong-phuong-15-8/hxh-khu-vip-p-15-tan-binh-5-tang-4x18-4m-nhinh-9-ty-pr44739579
"Nhà biệt thự, liền kề","6,1 tỷ",78 m²,,,4 tầng,Hợp đồng mua bán,Không nội thất,Bắc,Bắc,5 m,7 m,"BÁN GẤP LIỀN KỀ GIÁ TỐT NHẤT TẠI LAVIDA RESIDENCES VŨNG TÀU. CHỈ 6,1 TỶ (BAO HẾT THUẾ PHÍ VÀ 5%)",10.3951905664945,107.14828714619463,0,"Vũng Tàu, Bà Rịa Vũng Tàu","La Vida Residences, 3/2, 12, Vũng Tàu, Bà Rịa Vũng Tàu",18/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-3-2-2-phuong-12-11-prj-la-vida-residences/ban-gaplien-gia-tot-nhat-tai-lavida-vung-tau-chi-6-1-ty-bao-het-thue-phi-va-5-pr44831210
"Nhà biệt thự, liền kề","14,2 tỷ",70 m²,5 phòng,5 phòng,5 tầng,Sổ đỏ/ Sổ hồng,Cơ bản,Tây - Bắc,,5 m,20 m,"Vin2 Chà Là 15, 70m2. Hoàn thiện 2 tầng, sổ đỏ cầm tay. Giá rẻ nhất thị trường",20.9434406554758,105.97989636766232,0,"Văn Giang, Hưng Yên","Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",18/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hung-prj-vinhomes-ocean-park-2/vin2-cha-la-15-70m2-hoan-thien-2-tang-so-do-cam-tay-gia-re-nhat-thi-truong-pr44831133
"Nhà biệt thự, liền kề",Thỏa thuận,170 m²,5 phòng,6 phòng,5 tầng,Sổ đỏ/ Sổ hồng,,,,,,"BIỆT THỰ TÂN CỔ ĐIỂN Ở NGAY, LÔ GÓC THANG MÁY NHẬP KHẨU, CÔNG NGHỆ AI VÔ CÙNG THÔNG MINH, FULL NT.",20.9919541281956,105.784992812982,0,"Nam Từ Liêm, Hà Nội","Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội",18/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-to-huu-phuong-trung-van/-tan-co-dien-o-ngay-lo-goc-thang-may-nhap-khau-cong-nghe-ai-vo-cung-thong-minh-full-nt-pr44830704
"Nhà biệt thự, liền kề",Thỏa thuận,100 m²,6 phòng,5 phòng,5 tầng,HĐMB,Không nội thất,Đông - Nam,Tây - Bắc,10 m,13 m,Chuyên phân phối Liền Kề BT SH Lê Quang Đạo giá tốt tại KDT LouisCity Hỗ trợ NH 80%. LH 0988 832 ***,20.99870743991,105.752154424496,0,"Nam Từ Liêm, Hà Nội","Dự án Louis City, Đường 70, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",11/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-70-2-phuong-dai-mo-prj-louis-city-dai-mo/chu-can-ban-nhanh-can-sh-120m2-truc-40m-21m-le-quang-dao-keo-kdt-louiscity-lh-pr42363610
"Nhà biệt thự, liền kề","31,5 tỷ",100 m²,5 phòng,,5 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,20 m,10 m,"Bán Biệt Thự Văn Quán, Hà Đông, Lô Góc 5 Tầng Thang Máy, Full Nội Thất 5 Sao.",20.979527952442716,105.794409904629,0,"Hà Đông, Hà Nội","Đường Văn Quán, Phường Văn Quán, Hà Đông, Hà Nội",18/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-van-quan-phuong-van-quan/ban-ha-dong-lo-goc-5-tang-thang-may-full-noi-that-5-sao-pr44413992
"Nhà biệt thự, liền kề",Thỏa thuận,84 m²,,,,,,,,7 m,,"Bán liền kề Lideco Trạm Trôi, Hoài Đức 84m², xây 5 tầng, mặt tiền 7m, vị trí đẹp, kinh doanh tốt",21.068201527181223,105.71018369758198,0,"Hoài Đức, Hà Nội","Dự án Lideco, Đường Quốc lộ 32, Thị trấn Trạm Trôi, Hoài Đức, Hà Nội",18/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-32-thi-tran-tram-troi-prj-khu-do-thi-moi-lideco-bac-quoc-lo-32/ban-hoai-duc-84m-xay-5-tang-mat-tien-7m-vi-tri-dep-kinh-doanh-tot-pr44396724
"Nhà biệt thự, liền kề",Thỏa thuận,162 m²,,,,,,,,9 m,,"Bán biệt thự song lập Lideco Hoài Đức 162m², MT 9m, xây 5 tầng, vị trí trung tâm, sổ đỏ chính chủ",21.0686916868656,105.71107248046268,0,"Hoài Đức, Hà Nội","Dự án Lideco, Đường Quốc lộ 32, Thị trấn Trạm Trôi, Hoài Đức, Hà Nội",18/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-32-thi-tran-tram-troi-prj-khu-do-thi-moi-lideco-bac-quoc-lo-32/ban-song-lap-hoai-duc-162m-mt-9m-xay-5-tang-vi-tri-trung-tam-so-chinh-chu-pr44396740
"Nhà biệt thự, liền kề","10,95 tỷ",200 m²,6 phòng,,4 tầng,Sổ đỏ/ Sổ hồng,,,,,,10 tỷ hơn BT song lập cực đẹp dự án Vinaconex KĐT Quang Minh - ML - HN,21.1964177523745,105.782957964898,0,"Mê Linh, Hà Nội","Dự án KĐT Quang Minh, Đường Cao tốc Thăng Long Nội Bài, Thị trấn Quang Minh, Mê Linh, Hà Nội",17/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-cao-toc-thang-long-noi-bai-thi-tran-quang-minh-prj-khu-do-thi-quang-minh/10-ty-hon-bt-song-lap-cuc-dep-du-an-vinaconex-kdt-ml-hn-pr44824342
"Nhà biệt thự, liền kề",44 tỷ,288 m²,,,,,,,,,,Biệt thự song lập 228m2 tặng thêm 60m2 sân vườn + xe VF8 + miễn 3 năm PDV voucher nghỉ dưỡng 135tr,21.09592523965892,105.71160520622544,0,"Đan Phượng, Hà Nội","Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội",18/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/-song-lap-228m2-tang-them-60m2-san-vuon-xe-vf8-mien-3-nam-pdv-voucher-nghi-duong-135tr-pr44200043
"Nhà biệt thự, liền kề","22,5 tỷ",120 m²,,,,,,,,,,120m2 giá tốt nhất Vinhomes Wonder City 22.5 tỷ + Tặng xe VF7 + 3 năm PDV + Voucher 135tr,21.09674456993438,105.71129717691124,0,"Đan Phượng, Hà Nội","Vinhomes Wonder City, Tân Hội, Đan Phượng, Hà Nội",18/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/can-120m2-gia-tot-nhat-22-5-ty-mien-3-nam-pdv-voucher-nghi-duong-135tr-pr44199661
"Nhà biệt thự, liền kề",Thỏa thuận,60 m²,,,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,,4 m,13 m,"Chính chủ gửi bán các căn liền kề, nhà vườn, biệt thự khu Tổng Cục 5 Tân Triều. Liên hệ 0935 798 ***",20.969545571070167,105.79947884850934,0,"Thanh Trì, Hà Nội","Dự án Tổng cục 5 Tân Triều, Đường Yên Xá, Xã Tân Triều, Thanh Trì, Hà Nội",18/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-yen-xa-xa-tan-trieu-prj-lien-ke-tong-cuc-5-tan-trieu/chu-mua-ban-ki-gui-cac-loai-dat-khu-5-trieu-pr39113413
"Nhà biệt thự, liền kề",Thỏa thuận,188 m²,,,,,,,,,,"Hàng Hiếm! Quỹ Căn mặt đường đôi 39m vị trí kim cương, kinh doanh siêu lợi nhuận",21.0021164299453,105.707477566596,0,"Hoài Đức, Hà Nội","Dự án Nam An Khánh, Đường Láng Hòa Lạc, Xã An Khánh, Hoài Đức, Hà Nội",18/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-lang-hoa-lac-xa-an-khanh-4-prj-khu-do-thi-nam-an-khanh/hang-hiem-quy-can-mat-doi-39m-vi-tri-kim-cuong-kinh-doanh-sieu-loi-nhuan-pr44325483
"Nhà biệt thự, liền kề",150 triệu/m²,278 m²,,,,Sổ đỏ/ Sổ hồng,,,,,,"Bán biệt thự Phương Viên - Mailand Hanoi City, view hồ, sân golf - giá đầu tư - LH 0977 465 ***",21.0151062011719,105.72484588623,0,"Hoài Đức, Hà Nội","Dự án Mailand Hanoi City, Đường Đại lộ Thăng Long, Xã An Khánh, Hoài Đức, Hà Nội",18/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-dai-lo-thang-long-xa-an-khanh-4-prj-mailand-hanoi-city/ban-phuong-vien-view-ho-san-golf-gia-dau-tu-lh-pr43891695
"Nhà biệt thự, liền kề",18 tỷ,126 m²,6 phòng,7 phòng,5 tầng,Sổ đỏ/ Sổ hồng,,,,,,"Rổ hàng BIỆT THỰ, NHÀ PHỐ - KDC Phú Mỹ VPH, DT 6x21m (126m2) giá 18 tỷ và DT 10,5x21 m giá 31 tỷ",10.713223980552634,106.73372043762524,0,"Quận 7, Hồ Chí Minh","Khu dân cư Phú Mỹ, Hoàng Quốc Việt, Phú Mỹ, Quận 7, Hồ Chí Minh",18/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-hoang-quoc-viet-phuong-phu-my-9-prj-khu-dan-cu-phu-my/ro-hang-pho-kdc-vph-dt-6x21m-126m2-gia-18-ty-va-dt-10-5x21-m-gia-31-ty-pr44217243
"Nhà biệt thự, liền kề",16 tỷ,140 m²,4 phòng,5 phòng,3 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Nam,Tây - Bắc,7 m,30 m,"Rổ hàng 08 biệt thự Nine South, DT 7x20m, 10x20m, 12x27m giá từ 16 tỷ/căn. LH 0901 294 ***",10.703923410238804,106.7125807969704,0,"Nhà Bè, Hồ Chí Minh","Dự án Nine South Estates, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",18/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-huu-tho-xa-phuoc-kieng-prj-nine-south-estates/ro-hang-dt-7x20m-10x20m-12x27m-gia-tu-13-9-ty-can-lh-mr-vu-pr39133602
"Nhà biệt thự, liền kề","37,5 tỷ",126 m²,4 phòng,5 phòng,3 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Nam,Đông - Nam,11 m,16 m,"Bán 03 biệt thự Mỹ Giang Phú Mỹ Hưng, DT 7x18m, 11x18m, sổ hồng giá 37,5 tỷ/căn LH 0901 294 ***",10.7228832244873,106.717208862305,0,"Quận 7, Hồ Chí Minh","Dự án Mỹ Giang 1&2, Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",18/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-duc-canh-phuong-tan-phong-9-prj-my-giang/con-3-can-goc-2-mt-khu-phu-hung-dt-7x18-10x18-11x18-shr-gia-29ty-pr37977335
"Nhà biệt thự, liền kề","10,8 tỷ","105,6 m²",4 phòng,5 phòng,3 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,,,,"CẦN BÁN GẤP BIỆT THỰ LAVILA KIẾN Á - DT 6x17.6m - Giá chỉ 10,7 tỷ - Cam kết giá tốt nhất khu vực",10.69124984741211,106.7212142944336,0,"Nhà Bè, Hồ Chí Minh","Dự án Lavila Kiến Á - Nhà Bè, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",18/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-huu-tho-xa-phuoc-kieng-prj-lavila-kien-a-nha-be/-cn-goc-dt-6x17-6m-gi-chi-con-10-7-ty-cm-ket-gi-tot-nht-khu-vuc-pr40425584
"Nhà biệt thự, liền kề","69,99 tỷ",478 m²,6 phòng,6 phòng,4 tầng,Sổ đỏ/ Sổ hồng,Cơ bản,Tây - Bắc,Tây - Bắc,"25,2 m",20 m,"BIỆT THỰ 2 MẶT TIỀN KDC PHÚ MỸ 478M2 (25,2x 19), 1 HẦM, 2 LẦU, SÂN THƯỢNG, CHÍNH CHỦ 1 ĐỜI.",10.713237826353645,106.73357759155432,0,"Quận 7, Hồ Chí Minh","KDC Phú Mỹ, Đường 4, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",18/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-4-phuong-phu-my-9-prj-khu-dan-cu-phu-my/-2-mat-tien-kdc-478m2-25-2x-19-1-ham-2-lau-san-ong-chinh-chu-1-doi-pr44830155
"Nhà biệt thự, liền kề",11 tỷ,"92,5 m²",,,,Sổ đỏ/ Sổ hồng,,,,5 m,8 m,#NHÀPHỐ #HIMLAMPHÚĐÔNG #CẦNBÁN__Trệt 2 lầu. 92.5m2 ngang 5*18.5. __Sổ sẵn. Giá 11 tỉ thương lượng,10.866032404869802,106.75442875028818,0,"Dĩ An, Bình Dương","Him Lam Phú Đông, Trần Thị Vững, An Bình, Dĩ An, Bình Dương",18/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tran-thi-vung-phuong-an-binh-prj-him-lam-phu-dong/-nhapho-himlamphudong-canban-tret-2-lau-92-5m2-ngang-5-18-5-so-san-gia-11-ti-thuong-luong-pr44830077
"Nhà biệt thự, liền kề","52,5 tỷ","127,5 m²",8 phòng,4 phòng,4 tầng,Hợp đồng mua bán,Không nội thất,Đông - Nam,Đông - Nam,8 m,13 m,Chính chủ bán căn Tứ Lập HG5-28 Đông Nam bên Hoàng Gia phân khu Tinh Hoa do thay đổi công việc,21.11585152101501,105.86990203708058,0,"Đông Anh, Hà Nội","Dự án Vinhomes Global Gate, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",18/12/2025,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-co-loa-xa-dong-hoi-prj-vinhomes-global-gate/chinh-chu-ban-can-tu-lap-hg5-28-nam-ben-hoang-gia-phan-khu-tinh-hoa-do-thay-doi-cong-viec-pr44697025
Nhà mặt phố,28 tỷ,120 m²,6 phòng,4 phòng,5 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,6 m,16 m,Phân lô oto tránh đỗ kinh doanh Yên Xá Tân Triều Thanh Trì 120m2 28tỷ 5T MT 6m đầu tư sinh lợi cao,20.9682958187352,105.797112854873,0,"Thanh Trì, Hà Nội","Đường Yên Xá, Xã Tân Triều, Thanh Trì, Hà Nội",15/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-yen-xa-xa-tan-trieu/phan-lo-oto-tranh-do-kinh-doanh-thanh-tri-120m-28ty-5g-mt6m-dau-tu-sinh-loi-cao-pr44802591
Nhà mặt phố,41 tỷ,98 m²,,,5 tầng,Sổ đỏ/ Sổ hồng,Cơ bản,,,4 m,,Bán nhà mặt phố Giảng Võ 98m2 x5tầng - MT 4m giá 41 tỷ - vị trí đẹp nhất phố - thang máy nhập khẩu,21.0257978570347,105.823148904143,0,"Đống Đa, Hà Nội","Phố Giảng Võ, Phường Cát Linh, Đống Đa, Hà Nội",18/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-pho-giang-vo-phuong-cat-linh/ban-98m-x5tang-mt-4m-gia-41-ty-vi-tri-dep-t-thang-may-p-khau-pr44786829
Nhà mặt phố,34 tỷ,168 m²,,,,Sổ đỏ/ Sổ hồng,,,,"6,5 m",,BÁN NHÀ MẶT TIỀN ĐƯỜNG SỐ 47 PHƯỜNG THẢO ĐIỀN QUẬN 2,10.8103223629551,106.729740577052,0,"Quận 2, Hồ Chí Minh","Đường Số 47, Phường Thảo Điền, Quận 2, Hồ Chí Minh",18/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-47-phuong-thao-dien/ban-tien-47-quan-2-pr44828932
Nhà mặt phố,23 tỷ,120 m²,4 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,12 m,"Nhà VIP Tạ Quang Bửu, Quận 8, 4 tầng, đường nhựa 12m, 6 x 20m, 23 tỷ",10.7344787738197,106.657560616376,0,"Quận 8, Hồ Chí Minh","Đường Tạ Quang Bửu, Phường 5, Quận 8, Hồ Chí Minh",17/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-pho-ta-quang-buu-phuong-5-11/-vip-quan-8-4-ng-duong-nhua-12m-6-x-20m-nhinh-20-ty-pr44828689
Nhà mặt phố,"18,5 tỷ","96,3 m²",,,,Sổ đỏ,,,,"5,5 m",,"Bán nhà mặt phố Phú Viên giá chỉ như chung cư Tây Hồ sổ ghi 96,3m2 mặt tiền 5,5m, giá bán 18,5 tỷ",21.0336045316124,105.869678905848,0,"Long Biên, Hà Nội","Đường Phú Viên, Phường Bồ Đề, Long Biên, Hà Nội",14/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-phu-vien-phuong-bo-de/ban-gia-chi-nhu-chung-cu-tay-ho-so-ghi-96-3m2-tien-5-5m-gia-ban-18-5-ty-pr44799145
Nhà mặt phố,125 tỷ,839 m²,6 phòng,6 phòng,3 tầng,Sổ đỏ/ Sổ hồng,,,,,,"Bán nhà góc 2 mặt tiền Quang Trung, P. 12, Q. Gò Vấp, dt 12,5x46m lớn siêu hiếm, vị trí vàng, 125tỷ",10.8416090954833,106.643715828906,0,"Gò Vấp, Hồ Chí Minh","Đường Quang Trung, Phường 12, Gò Vấp, Hồ Chí Minh",17/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-quang-trung-phuong-12-8/ban-goc-2-tien-p-12-q-go-vap-dt-12-5x46m2-lon-sieu-hiem-vi-tri-vang-125ty-pr44089140
Nhà mặt phố,370 triệu/m²,80 m²,,,,Sổ đỏ/ Sổ hồng,,,,,,Bán nhà MP C4 phân lô đường trước nhà 6 làn oto đối diện Đại Học Tài Nguyên Môi Trường,21.0456421883347,105.762678723016,0,"Bắc Từ Liêm, Hà Nội","Đường Phú Diễn, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",17/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-phu-dien-phuong-phu-dien/ban-mp-c4-phan-lo-truoc-6-lan-oto-doi-dai-hoc-tai-nguyen-moi-truong-pr44752619
Nhà mặt phố,"20,5 tỷ","122,4 m²",6 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,,,,"7,2 m",,"Bán nhà Hoàng Hoa Thám Bình Thạnh ngang hơn 7m gara ôtô, Penthouse 4 tầng kiên cố giá 20,5 tỷ TL",10.8060782953368,106.690568344005,0,"Bình Thạnh, Hồ Chí Minh","Đường Hoàng Hoa Thám, Phường 7, Bình Thạnh, Hồ Chí Minh",17/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-hoang-hoa-tham-phuong-7-9/ban-tien-ngay-phan-dang-luu-p-7-binh-thanh-ngang-hon-7m-4-tang-kien-co-gia-20-5-ty-tl-pr43727176
Nhà mặt phố,452 triệu/m²,21 m²,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,,"Bán nhà mặt phố 25m 6 tầng mặt tiền 4,5m",20.9965905326704,105.825693097052,0,"Thanh Xuân, Hà Nội","Đường Hoàng Văn Thái, Phường Thanh Xuân Bắc, Thanh Xuân, Hà Nội",16/12/2025,https://batdongsan.com.vn/ban-nha-mat-pho-duong-hoang-van-thai-phuong-thanh-xuan-bac/ban-25m-6-tang-tien-4-5m-pr44817549
