property_type,price,area,n_bedrooms,n_bathrooms,n_floors,legal,interior,front_road_width,latitude,longitude,address,district,city_province
Biệt thự,18.8,323.0,5,5,3,Hợp đồng mua bán,Cơ bản,12.0,21.3539862017304,105.747115540418,"Dự án Thanh Xuân Valley, Xã Ngọc Thanh, Phúc Yên, Vĩnh Phúc",Phúc Yên,Vĩnh Phúc
Biệt thự,34.2,171.0,,,4,Sổ đỏ/ Sổ hồng,Đầy đủ,9.0,10.8448984491717,106.717757248469,"Dự án KĐT Vạn Phúc City, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",Thủ Đức,Hồ Chí Minh
Biệt thự,19.0,66.0,,,3,Sổ đỏ/ Sổ hồng,Không nội thất,5.5,21.0024565161958,105.964091237262,"Dự án Vinhomes Ocean Park Gia Lâm, Đường Ngọc Trai 8, Xã Đa Tốn, Gia Lâm, Hà Nội",Gia Lâm,Hà Nội
Biệt thự,30.0,170.0,,,4,HĐMB,,,20.97662806873877,105.7616358421211,"Dự án Solasta Mansion, Đường Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội",Hà Đông,Hà Nội
Biệt thự,13.5,170.0,4,4,3,Hợp đồng mua bán,Không nội thất,10.0,10.39564341125,107.148145211976,"La Vida Residences, Đường 3/2, Phường 12, Vũng Tàu, Bà Rịa Vũng Tàu",Vũng Tàu,Bà Rịa Vũng Tàu
Biệt thự,36.0,415.3,6,6,3,Sổ đỏ/ Sổ hồng,"+ Nội thất đầy đủ: Điều hòa, tủ lạnh, giường, máy rửa chén, robot hút bụi",13.24,10.8669772607584,106.817428279808,"Thảo Nguyên Sài Gòn, 32, Đường D1, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Quận 9,Hồ Chí Minh
Nhà mặt phố,9.0,88.0,6,4,2,Sổ đỏ/ Sổ hồng,Cơ bản,4.0,10.7533506512279,106.588653676734,"Đường Trần Thanh Mại, Phường Tân Tạo, Bình Tân, Hồ Chí Minh",Bình Tân,Hồ Chí Minh
Nhà mặt phố,16.8,83.5,,,2,Sổ đỏ/ Sổ hồng,,,20.95614446966,105.76603874316,"Đường Quang Trung, Phường Phú La, Hà Đông, Hà Nội",Hà Đông,Hà Nội
Nhà mặt phố,35.0,280.0,11,10,4,Sổ đỏ/ Sổ hồng,Cơ bản,6.0,10.7380197616114,106.628435851092,"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Hồ Chí Minh",Quận 6,Hồ Chí Minh
Nhà mặt phố,164.0,173.7,,,4,Sổ hồng/ sổ đỏ sẵn sang tên ngay,,8.0,21.032767866038,105.791872437926,"Phố Khúc Thừa Dụ, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Cầu Giấy,Hà Nội
Nhà mặt phố,17.9,57.8,,,1,Sổ đỏ/ Sổ hồng,,3.8,10.808504855385,106.688486866643,"271 Đường Hoàng Hoa Thám, Phường 13, Tân Bình, Hồ Chí Minh",Tân Bình,Hồ Chí Minh
Nhà mặt phố,18.0,193.5,,,4,Sổ đỏ,,,15.8862774458876,108.333874556897,"Đường Lý Thái Tổ, Phường Sơn Phong, Hội An, Quảng Nam",Hội An,Quảng Nam
Nhà mặt phố,14.0,95.0,7,9,6,Sổ đỏ/ Sổ hồng,,4.27,10.7888756981783,106.624939298962,"Số 82, Đường Đàm Thận Huy, Phường Tân Quý, Tân Phú, Hồ Chí Minh",Tân Phú,Hồ Chí Minh
Nhà mặt phố,15.6,90.0,2,2,2,Sổ đỏ/ Sổ hồng,,4.0,10.8120429095969,106.692494876001,"Đường Nguyễn Văn Đậu, Phường 11, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,Hồ Chí Minh
Nhà mặt phố,4.0,800.0,,,4,Sổ đỏ/ Sổ hồng,,16.0,11.9963855303966,107.512430817089,"Đường Quốc lộ 14C, Xã Quảng Trực, Tuy Đức, Đắk Nông",Tuy Đức,Đắk Nông
