address,area,city_province,district,front_width,interior,latitude,legal,longitude,n_bathrooms,n_bedrooms,n_floors,price,property_type,source,price_per_m2,log_price,log_price_per_m2,is_apartment,is_house,is_villa,has_interior_info,interior_score,legal_score,address_norm
"Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",105.0,Hà Nội,Bắc Từ Liêm,0.0,Nội thất cơ bản,21.08442263002162,Sổ riêng,105.79166587153114,2.0,3.0,1.0,10.0,Chung cư,batdongsancomvn,95.23809523809524,2.3978952727983707,4.566825279680198,1,0,0,1,1.0,4,du an sunshine city phuong dong ngac bac tu liem ha noi
"Đường Nguyễn Đình Chính, Phường 15, Phú Nhuận, Hồ Chí Minh",38.0,Hồ Chí Minh,Phú Nhuận,4.5,,10.7954688689515,Sổ riêng,106.677466698377,4.0,5.0,1.0,5.5,Nhà riêng,batdongsancomvn,144.73684210526315,1.8718021769015913,4.9818025440045215,0,1,0,0,,4,duong nguyen dinh chinh phuong 15 phu nhuan ho chi minh
"Đường Nơ Trang Long, Phường 11, Bình Thạnh, Hồ Chí Minh",120.0,Hồ Chí Minh,Bình Thạnh,5.0,Nội thất đầy đủ,10.8141712341479,Sổ riêng,106.697889215309,6.0,5.0,5.0,15.0,Nhà riêng,batdongsancomvn,125.0,2.772588722239781,4.836281906951478,0,1,0,1,2.0,4,duong no trang long phuong 11 binh thanh ho chi minh
"Đường Nơ Trang Long, Phường 7, Bình Thạnh, Hồ Chí Minh",43.0,Hồ Chí Minh,Bình Thạnh,2.9,Nội thất đầy đủ,10.8068311887613,Sổ riêng,106.695191479422,3.0,3.0,2.0,6.96,Nhà riêng,batdongsancomvn,161.86046511627907,2.0744289998562917,5.092893791961956,0,1,0,1,2.0,4,duong no trang long phuong 7 binh thanh ho chi minh
"Đường Cô Bắc, Phường 1, Phú Nhuận, Hồ Chí Minh",44.0,Hồ Chí Minh,Phú Nhuận,4.5,Nội thất đầy đủ,10.7967426742002,Sổ riêng,106.683028370595,5.0,4.0,4.0,8.99,Nhà riêng,batdongsancomvn,204.3181818181818,2.301584592660462,5.324560882296288,0,1,0,1,2.0,4,duong co bac phuong 1 phu nhuan ho chi minh
"Đường Số 51, Phường Tân Quy, Quận 7, Hồ Chí Minh",73.0,Hồ Chí Minh,Quận 7,12.0,Nội thất đầy đủ,10.740762046818,Sổ riêng,106.71611753707,5.0,4.0,3.0,18.8,Nhà riêng,batdongsancomvn,257.5342465753425,2.9856819377004897,5.555028167089748,0,1,0,1,2.0,4,duong so 51 phuong tan quy quan 7 ho chi minh
"Ngõ 208, Phố Phù Lưu, Phường Tràng Minh, Kiến An, Hải Phòng",47.9,Hải Phòng,Kiến An,5.0,Nội thất cơ bản,20.7860935198119,Sổ riêng,106.626316938582,2.0,3.0,3.0,1.85,Nhà riêng,batdongsancomvn,38.62212943632568,1.0473189942805592,3.6793877863260045,0,1,0,1,1.0,4,ngo 208 pho phu luu phuong trang minh kien an hai phong
"Đường Thống Nhất, Phường 16, Gò Vấp, Hồ Chí Minh",59.0,Hồ Chí Minh,Gò Vấp,4.3,Không nội thất,10.8453312709091,Sổ riêng,106.664500656827,3.0,4.0,1.0,5.62,Nhà riêng,batdongsancomvn,95.2542372881356,1.890095369948917,4.566992995971713,0,1,0,1,0.0,4,duong thong nhat phuong 16 go vap ho chi minh
"Đường Dương Văn Dương, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",52.0,Hồ Chí Minh,Tân Phú,4.0,Nội thất cơ bản,10.7947608014694,Sổ riêng,106.621580086324,5.0,5.0,5.0,7.8,Nhà riêng,batdongsancomvn,150.0,2.174751721484161,5.017279836814924,0,1,0,1,1.0,4,duong duong van duong phuong tan son nhi tan phu ho chi minh
"Đường Phan Văn Trị, Phường 2, Quận 5, Hồ Chí Minh",64.0,Hồ Chí Minh,Quận 5,4.0,Nội thất cơ bản,10.7556020289747,Sổ riêng,106.677085556919,3.0,3.0,2.0,7.3,Nhà riêng,batdongsancomvn,114.0625,2.1162555148025524,4.745475458993297,0,1,0,1,1.0,4,duong phan van tri phuong 2 quan 5 ho chi minh
"Đường Thích Quảng Đức, Phường 5, Phú Nhuận, Hồ Chí Minh",45.4,Hồ Chí Minh,Phú Nhuận,4.0,Nội thất cơ bản,10.8052222312871,Sổ riêng,106.681883951175,4.0,5.0,4.0,7.5,Nhà riêng,batdongsancomvn,165.19823788546256,2.1400661634962708,5.113181279991271,0,1,0,1,1.0,4,duong thich quang duc phuong 5 phu nhuan ho chi minh
"Đường Xô Viết Nghệ Tĩnh, Phường 21, Bình Thạnh, Hồ Chí Minh",43.0,Hồ Chí Minh,Bình Thạnh,4.5,,10.798061210253,Sổ riêng,106.710977400433,4.0,3.0,2.0,4.8,Nhà riêng,batdongsancomvn,111.62790697674419,1.7578579175523736,4.724089526709666,0,1,0,0,,4,duong xo viet nghe tinh phuong 21 binh thanh ho chi minh
"Đường Nguyễn Thị Định, Phường Cát Lái, Quận 2, Hồ Chí Minh",196.0,Hồ Chí Minh,Quận 2,6.0,,10.7806804345942,Sổ riêng,106.761884136166,5.0,4.0,1.0,11.5,Nhà riêng,batdongsancomvn,58.673469387755105,2.5257286443082556,4.088887522759043,0,1,0,0,,4,duong nguyen thi dinh phuong cat lai quan 2 ho chi minh
"Đường Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",25.0,Hồ Chí Minh,Quận 1,4.15,,10.7670239375756,Không có,106.692299890885,3.0,2.0,3.0,8.45,Nhà riêng,batdongsancomvn,338.0,2.2460147415056513,5.82600010738045,0,1,0,0,,0,duong bui vien phuong pham ngu lao quan 1 ho chi minh
"Đường Phan Vinh, Phường Vĩnh Nguyên, Nha Trang, Khánh Hòa",97.5,Khánh Hòa,Nha Trang,5.02,Nội thất cơ bản,12.2127816699776,Sổ riêng,109.211835543822,2.0,2.0,2.0,9.0,Nhà riêng,batdongsancomvn,92.3076923076923,2.302585092994046,4.535902551482513,0,1,0,1,1.0,4,duong phan vinh phuong vinh nguyen nha trang khanh hoa
