Unnamed: 0,property_type,price,area,n_bedrooms,n_bathrooms,n_floors,address,city_province,district,legal,front_width,raw_area,latitude,longitude
4700,Biệt thự,12.3,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m²(17,0x18,5)",15.3864073,108.7029729
4701,Biệt thự,12.2,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m² (17,0x18,5)",15.3864073,108.7029729
4702,Nhà mặt tiền,3.6,78.0,3,0,3,"Phường Trần Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,4.4,"78 m²(4,4x17,0)",15.116118,108.7961681
4703,Nhà hẻm ngõ,1.8,269.0,3,1,0,"Phường Quảng Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,12.0,"269 m²(12,0x20,0)",15.116118,108.7961681
4704,Biệt thự,12.3,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m²(17,0x18,5)",15.3864073,108.7029729
4705,Biệt thự,12.2,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m² (17,0x18,5)",15.3864073,108.7029729
4706,Nhà mặt tiền,3.6,78.0,3,0,3,"Phường Trần Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,4.4,"78 m²(4,4x17,0)",15.116118,108.7961681
4707,Nhà hẻm ngõ,1.8,269.0,3,1,0,"Phường Quảng Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,12.0,"269 m²(12,0x20,0)",15.116118,108.7961681
4708,Biệt thự,12.3,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m²(17,0x18,5)",15.3864073,108.7029729
4709,Biệt thự,12.2,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m² (17,0x18,5)",15.3864073,108.7029729
4710,Nhà mặt tiền,3.6,78.0,3,0,3,"Phường Trần Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,4.4,"78 m²(4,4x17,0)",15.116118,108.7961681
4711,Nhà hẻm ngõ,1.8,269.0,3,1,0,"Phường Quảng Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,12.0,"269 m²(12,0x20,0)",15.116118,108.7961681
4712,Biệt thự,12.3,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m²(17,0x18,5)",15.3864073,108.7029729
4713,Biệt thự,12.2,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m² (17,0x18,5)",15.3864073,108.7029729
4714,Nhà mặt tiền,3.6,78.0,3,0,3,"Phường Trần Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,4.4,"78 m²(4,4x17,0)",15.116118,108.7961681
4715,Nhà hẻm ngõ,1.8,269.0,3,1,0,"Phường Quảng Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,12.0,"269 m²(12,0x20,0)",15.116118,108.7961681
4716,Biệt thự,12.3,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m²(17,0x18,5)",15.3864073,108.7029729
4717,Biệt thự,12.2,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m² (17,0x18,5)",15.3864073,108.7029729
4718,Nhà mặt tiền,3.6,78.0,3,0,3,"Phường Trần Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,4.4,"78 m²(4,4x17,0)",15.116118,108.7961681
4719,Nhà hẻm ngõ,1.8,269.0,3,1,0,"Phường Quảng Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,12.0,"269 m²(12,0x20,0)",15.116118,108.7961681
4720,Biệt thự,12.3,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m²(17,0x18,5)",15.3864073,108.7029729
4721,Biệt thự,12.2,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m² (17,0x18,5)",15.3864073,108.7029729
4722,Nhà mặt tiền,3.6,78.0,3,0,3,"Phường Trần Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,4.4,"78 m²(4,4x17,0)",15.116118,108.7961681
4723,Nhà hẻm ngõ,1.8,269.0,3,1,0,"Phường Quảng Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,12.0,"269 m²(12,0x20,0)",15.116118,108.7961681
4724,Biệt thự,12.3,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m²(17,0x18,5)",15.3864073,108.7029729
4725,Biệt thự,12.2,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m² (17,0x18,5)",15.3864073,108.7029729
4726,Nhà mặt tiền,3.6,78.0,3,0,3,"Phường Trần Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,4.4,"78 m²(4,4x17,0)",15.116118,108.7961681
4727,Nhà hẻm ngõ,1.8,269.0,3,1,0,"Phường Quảng Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,12.0,"269 m²(12,0x20,0)",15.116118,108.7961681
4728,Biệt thự,12.3,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m²(17,0x18,5)",15.3864073,108.7029729
4729,Biệt thự,12.2,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m² (17,0x18,5)",15.3864073,108.7029729
4730,Nhà mặt tiền,3.6,78.0,3,0,3,"Phường Trần Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,4.4,"78 m²(4,4x17,0)",15.116118,108.7961681
4731,Nhà hẻm ngõ,1.8,269.0,3,1,0,"Phường Quảng Phú, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,12.0,"269 m²(12,0x20,0)",15.116118,108.7961681
4732,Biệt thự,12.3,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m²(17,0x18,5)",15.3864073,108.7029729
