Unnamed: 0,property_type,price,area,n_bedrooms,n_bathrooms,n_floors,address,city_province,district,legal,front_width,raw_area,latitude,longitude
0,Nhà mặt tiền,48.0,65.0,0,0,4,"Đường Nguyễn Trãi, Phường 7, Quận 5, TP.HCM",TP.HCM,Quận 5,Sổ hồng,4.0,65 m²(4.0x16.0),10.7558252,106.6683021
1,Nhà hẻm ngõ,8.2,105.0,6,6,2,"1234, Đường Huỳnh Tấn phát, Phường Tân Phú, Quận 7, TP.HCM",TP.HCM,Quận 7,Sổ hồng,4.6,"105 m²(4,6x23,0)",10.7375669,106.7296597
2,Biệt thự,300.0,1100.0,8,10,3,"105, Đường Trần Văn Kiểu, Phường 10, Quận 6, TP.HCM",TP.HCM,Quận 6,Sổ hồng,20.0,"1.100 m²(20,0x50,0)",10.7458901,106.6391994
3,Nhà mặt tiền,0.89,60.0,3,3,0,"Đường Đoàn Nguyễn Tuấn, Xã Hưng Long, Huyện Bình Chánh, TP.HCM",TP.HCM,Huyện Bình Chánh,Sổ hồng,4.0,"60 m²(4,0x15,0)",10.6950833,106.5909297
4,Nhà mặt tiền,40.0,140.0,8,8,3,"Đường 3 Tháng 2, Phường 14, Quận 10, TP.HCM",TP.HCM,Quận 10,Sổ hồng,7.5,"140 m²(7,5x22,0)",10.7725282,106.6682021
5,Nhà hẻm ngõ,3.8,29.0,2,0,0,"Hẻm 11/9, Đường Trần Văn Đang, Phường 9, Quận 3, TP.HCM",TP.HCM,Quận 3,Sổ hồng,,29 m²,10.7788914,106.6869967
6,Nhà hẻm ngõ,2.98,24.0,2,2,0,"87/12/4, Đường 27, Phường 6, Quận Gò Vấp, TP.HCM",TP.HCM,Quận Gò Vấp,Sổ hồng,,24 m²,10.8352617,106.6740588
7,Nhà mặt tiền,42.0,64.0,4,3,3,"Đường Nguyễn Thái Học, Phường Cầu Ông Lãnh, Quận 1, TP.HCM",TP.HCM,Quận 1,Sổ hồng,4.0,"64 m²(4,0x16,3)",10.7753939,106.6996249
8,Nhà mặt tiền,9.2,100.0,0,0,5,"440A, Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, TP.HCM",TP.HCM,Quận 12,Sổ hồng,,100 m²,10.8612653,106.6642083
9,Nhà mặt tiền,8.6,48.0,4,5,3,"69, Đường số 4, Phường 16, Quận Gò Vấp, TP.HCM",TP.HCM,Quận Gò Vấp,Sổ hồng,4.0,"48 m²(4,0x12,0)",10.8352617,106.6740588
10,Nhà hẻm ngõ,11.8,79.0,0,0,0,"513/60, Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,4.0,"79 m²(4,0x19,8)",10.8030931,106.6523519
11,Nhà mặt tiền,12.8,47.0,0,0,5,"16, Đường Nguyễn Bá Tòng, Phường Tân Thành, Quận Tân Phú, TP.HCM",TP.HCM,Quận Tân Phú,Sổ hồng,4.1,"47 m²(4,1x12,0)",10.7918681,106.6277515
12,Nhà hẻm ngõ,8.69,42.0,4,4,3,"432/3, Đường Lê Văn Sỹ, Phường 2, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,,42 m²,10.8030931,106.6523519
13,Nhà mặt tiền,,40.0,0,0,2,"Đường Nguyễn Công Trứ, Phường 19, Quận Bình Thạnh, TP.HCM",TP.HCM,Quận Bình Thạnh,Sổ đỏ,,40 m²,10.812271,106.7040393
14,Nhà hẻm ngõ,2.2,85.0,3,3,0,"Đường Cây Cám, Phường Bình Hưng Hòa B, Quận Bình Tân, TP.HCM",TP.HCM,Quận Bình Tân,Giấy tờ hợp lệ,5.0,85 m²(5.0x17.0),10.7704159,106.5995401
15,Nhà mặt tiền,0.68,120.0,3,2,1,"Đường Trịnh Như Khuê, Xã Bình Chánh, Huyện Bình Chánh, TP.HCM",TP.HCM,Huyện Bình Chánh,Sổ hồng,6.0,"120 m²(6,0x20,0)",10.6950833,106.5909297
16,Nhà mặt tiền,0.7,98.0,3,2,0,"Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, TP.HCM",TP.HCM,Huyện Bình Chánh,Sổ hồng,5.1,"98 m²(5,1x19,0)",10.6950833,106.5909297
17,Nhà mặt tiền,1.25,100.0,3,3,0,"Đường Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, TP.HCM",TP.HCM,Huyện Bình Chánh,Sổ hồng,5.0,100 m²(5.0x20.0),10.6950833,106.5909297
18,Nhà mặt tiền,2.111,500.0,0,0,0,"Đường Thi Sách, Phường Bến Nghé, Quận 1, TP.HCM",TP.HCM,Quận 1,Sổ hồng,25.0,"500 m²(25,0x20,0)",10.7753939,106.6996249
19,Nhà hẻm ngõ,8.1,68.0,3,3,3,"Đường Đồng Đen, Phường 14, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,4.0,"68 m²(4,0x17,0)",10.8030931,106.6523519
20,Nhà mặt tiền,5.5,46.0,3,3,2,"228, Đường Bình Quới, Phường 28, Quận Bình Thạnh, TP.HCM",TP.HCM,Quận Bình Thạnh,Sổ hồng,,46 m²,10.812271,106.7040393
21,Nhà hẻm ngõ,7.8,56.0,5,6,0,"Phường Bình Trị Đông, Quận Bình Tân, TP.HCM",TP.HCM,Quận Bình Tân,Sổ hồng,,56 m²,10.7704159,106.5995401
22,Nhà hẻm ngõ,10.5,73.0,5,4,4,"Đường Tân Trụ, Phường 15, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,,73 m²,10.8030931,106.6523519
23,Nhà mặt tiền,1.29,72.0,5,6,0,"Phường Bình Trị Đông, Quận Bình Tân, TP.HCM",TP.HCM,Quận Bình Tân,Sổ hồng,,72 m²,10.7704159,106.5995401
24,Nhà hẻm ngõ,30.0,67.5,20,21,7,"67/1, Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, TP.HCM",TP.HCM,Quận Gò Vấp,Sổ hồng,4.5,"67,5 m²(4,5x17,0)",10.8352617,106.6740588
25,Nhà mặt tiền,22.9,69.0,6,6,7,"Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, TP.HCM",TP.HCM,Quận Gò Vấp,Sổ hồng,4.0,"69 m²(4,0x21,0)",10.8352617,106.6740588
26,Nhà hẻm ngõ,15.5,60.0,0,0,0,"Đường 22, Phường 15, Quận 11, TP.HCM",TP.HCM,Quận 11,Giấy tờ hợp lệ,,60 m²,10.7656343,106.647607
27,Nhà mặt tiền,55.0,100.0,24,0,7,"Đường Phan Đình Phùng, Phường 2, Quận Phú Nhuận, TP.HCM",TP.HCM,Quận Phú Nhuận,Sổ đỏ,4.0,"100 m²(4,0x18,0)",10.8010601,106.6798946
28,Nhà hẻm ngõ,4.95,124.3,2,1,0,"Đường Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TP.HCM",TP.HCM,Huyện Nhà Bè,Sổ hồng,4.8,"124,3 m²(4,8x26,0)",10.6509356,106.7259486
29,Nhà mặt tiền,19.6,60.2,0,0,4,"136, Đường Âu Dương Lân, Phường 3, Quận 8, TP.HCM",TP.HCM,Quận 8,Sổ hồng,4.2,"60,2 m²(4,2x17,0)",10.7211158,106.6292079
30,Nhà mặt tiền,5.7,48.0,2,2,2,"Đường Âu Cơ, Phường 11, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,4.0,48 m²(4.0x12.0),10.8030931,106.6523519
31,Nhà hẻm ngõ,19.9,328.0,52,52,3,"Đường Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, TP.HCM",TP.HCM,Quận Bình Tân,Sổ hồng,9.5,"328 m²(9,5x36,0)",10.7704159,106.5995401
32,Nhà mặt tiền,7.5,107.0,0,0,0,"109, Đường Thới An 13, Phường Thới An, Quận 12, TP.HCM",TP.HCM,Quận 12,Sổ hồng,6.0,"107 m²(6,0x20,0)",10.8612653,106.6642083
33,Nhà hẻm ngõ,9.5,90.0,0,0,2,"140/10/19, Đường Điện Biên Phủ, Phường 17, Quận Bình Thạnh, TP.HCM",TP.HCM,Quận Bình Thạnh,Sổ hồng,5.0,"90 m²(5,0x18,0)",10.812271,106.7040393
34,Nhà mặt tiền,23.9,160.0,0,0,3,"Đường Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, TP.HCM",TP.HCM,Quận Bình Thạnh,Sổ hồng,8.0,"160 m²(8,0x20,0)",10.812271,106.7040393
35,Nhà hẻm ngõ,8.0,71.0,4,4,0,"Đường Âu Cơ, Phường 10, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,4.0,"71 m²(4,0x16,0)",10.8030931,106.6523519
36,Nhà hẻm ngõ,3.95,13.0,2,2,0,"Đường Nguyễn Thiện Thuật, Phường 2, Quận 3, TP.HCM",TP.HCM,Quận 3,Sổ hồng,,13 m²,10.7788914,106.6869967
37,Nhà mặt tiền,33.0,130.0,0,0,0,"Đường Thân Văn Nhiếp, Phường An Phú, TP. Thủ Đức - Quận 2, TP.HCM",TP.HCM,TP. Thủ Đức - Quận 2,Sổ hồng,6.8,"130 m²(6,8x19,1)",10.7632768,106.7016196
38,Nhà mặt tiền,10.8,30.0,5,4,5,"181, Đường Nhật Tảo, Phường 8, Quận 10, TP.HCM",TP.HCM,Quận 10,Sổ hồng,3.0,"30 m²(3,0x13,0)",10.7725282,106.6682021
39,Nhà hẻm ngõ,4.45,55.0,4,5,4,"Đường Nguyễn  Cửu Phú, Phường Tân Tạo A, Quận Bình Tân, TP.HCM",TP.HCM,Quận Bình Tân,Sổ hồng,5.5,"55 m²(5,5x11,0)",10.7704159,106.5995401
40,Nhà hẻm ngõ,5.65,37.0,2,2,0,"Đường Nguyễn An Ninh, Phường 14, Quận Bình Thạnh, TP.HCM",TP.HCM,Quận Bình Thạnh,Sổ hồng,2.6,"37 m²(2,6x14,5)",10.812271,106.7040393
41,Nhà hẻm ngõ,4.6,34.4,3,2,0,"Đường Kỳ Đồng, Phường 9, Quận 3, TP.HCM",TP.HCM,Quận 3,Sổ hồng,3.7,"34,4 m²(3,7x9,0)",10.7788914,106.6869967
42,Nhà mặt tiền,6.5,93.0,1,1,0,"Đường 21, Phường Bình Hưng Hòa, Quận Bình Tân, TP.HCM",TP.HCM,Quận Bình Tân,Sổ hồng,4.0,"93 m²(4,0x24,0)",10.7704159,106.5995401
43,Nhà hẻm ngõ,4.95,32.0,4,4,5,"Đường Lê Trung Đình, Phường Sơn Kỳ, Quận Tân Phú, TP.HCM",TP.HCM,Quận Tân Phú,Sổ hồng,4.0,"32 m²(4,0x8,0)",10.7918681,106.6277515
44,Nhà mặt tiền,4.65,52.0,2,2,2,"1806, Đường Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TP.HCM",TP.HCM,Huyện Nhà Bè,Sổ hồng,5.0,"52 m²(5,0x10,5)",10.6509356,106.7259486
45,Nhà mặt tiền,6.05,56.0,5,6,4,"703/22, Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, TP.HCM",TP.HCM,Quận Tân Phú,Sổ hồng,4.0,"56 m²(4,0x14,0)",10.7918681,106.6277515
46,Nhà mặt tiền,13.9,142.0,10,10,6,"6/1B, Đường Nguyễn Thị Sóc, Xã Bà Điểm, Huyện Hóc Môn, TP.HCM",TP.HCM,Huyện Hóc Môn,Sổ hồng,6.0,"142 m²(6,0x30,0)",10.8777329,106.5760523
47,Nhà hẻm ngõ,6.26,30.0,3,3,0,"42/, Đường Hồ Văn Huê, Phường 9, Quận Phú Nhuận, TP.HCM",TP.HCM,Quận Phú Nhuận,Sổ hồng,,30 m²,10.8010601,106.6798946
48,Nhà mặt tiền,65.0,180.0,33,36,5,"Quận 7, TP.HCM",TP.HCM,Quận 7,Sổ hồng,12.0,"180 m²(12,0x15,0)",10.7375669,106.7296597
49,Nhà mặt tiền,14.0,76.0,0,0,3,"Đường Phú Thọ Hòa, Phường Phú Thọ Hòa, Quận Tân Phú, TP.HCM",TP.HCM,Quận Tân Phú,Sổ hồng,4.0,"76 m²(4,0x19,0)",10.7918681,106.6277515
50,Nhà hẻm ngõ,6.3,41.0,0,0,0,"Đường Đồng Đen, Phường 14, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,4.3,"41 m²(4,3x9,5)",10.8030931,106.6523519
51,Nhà hẻm ngõ,4.2,64.2,0,0,2,"19/30A, Đường Võ Văn Ngân, Phường Linh Chiểu, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",TP.HCM,TP. Thủ Đức - Quận Thủ Đức,Sổ hồng,5.2,"64,2 m²(5,2x12,0)",10.8450851,106.7677355
52,Nhà hẻm ngõ,4.55,24.4,3,3,4,"Đường Nguyễn Đình Chiểu, Phường 4, Quận Phú Nhuận, TP.HCM",TP.HCM,Quận Phú Nhuận,Sổ hồng,4.0,"24,4 m²(4,0x6,1)",10.8010601,106.6798946
53,Nhà mặt tiền,5.65,52.0,4,3,4,"Đường An Dương Vương, Phường 16, Quận 8, TP.HCM",TP.HCM,Quận 8,Sổ hồng,4.0,"52 m²(4,0x14,0)",10.7266989,106.6236032
54,Nhà hẻm ngõ,2.95,52.0,2,2,0,"Đường Võ Văn Ngân, Phường Bình Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",TP.HCM,TP. Thủ Đức - Quận Thủ Đức,Sổ hồng,4.0,"52 m²(4,0x12,0)",10.8450851,106.7677355
55,Nhà hẻm ngõ,7.3,40.3,3,4,3,"Đường Đặng Văn Ngữ, Phường 10, Quận Phú Nhuận, TP.HCM",TP.HCM,Quận Phú Nhuận,Sổ hồng,3.5,"40,3 m²(3,5x11,5)",10.8010601,106.6798946
56,Nhà hẻm ngõ,8.6,45.0,4,4,4,"Đường Lê Văn Sỹ, Phường 14, Quận 3, TP.HCM",TP.HCM,Quận 3,Sổ hồng,6.0,"45 m²(6,0x7,5)",10.7788914,106.6869967
57,Nhà mặt tiền,8.49,74.0,5,6,5,"Phường Bình Hưng Hòa A, Quận Bình Tân, TP.HCM",TP.HCM,Quận Bình Tân,Giấy tờ hợp lệ,4.0,"74 m²(4,0x16,0)",10.7704159,106.5995401
58,Nhà hẻm ngõ,3.25,42.0,3,2,2,"1716, 1716, Thị Trấn Nhà Bè, Huyện Nhà Bè, TP.HCM",TP.HCM,Huyện Nhà Bè,Sổ hồng,5.0,"42 m²(5,0x9,0)",10.6509356,106.7259486
59,Biệt thự,115.0,307.0,5,6,3,"Đường Nguyễn Văn Hưởng, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM",TP.HCM,TP. Thủ Đức - Quận 2,Sổ hồng,15.0,"307 m²(15,0x20,5)",10.7632768,106.7016196
60,Nhà hẻm ngõ,1.47,45.0,3,2,2,"Đường Đồng Nai, Phường 15, Quận 10, TP.HCM",TP.HCM,Quận 10,Sổ đỏ,4.0,"45 m²(4,0x11,3)",10.7725282,106.6682021
61,Nhà hẻm ngõ,6.55,90.0,2,2,2,"137/32/18, Đường Lê Văn Sỹ, Phường 13, Quận Phú Nhuận, TP.HCM",TP.HCM,Quận Phú Nhuận,Sổ hồng,4.0,"90 m²(4,0x12,5)",10.8010601,106.6798946
62,Nhà mặt tiền,28.0,168.0,0,0,0,"Xã Bình Hưng, Huyện Bình Chánh, TP.HCM",TP.HCM,Huyện Bình Chánh,Sổ hồng,,168 m²,10.6950833,106.5909297
63,Nhà mặt tiền,1.8,125.0,10,10,0,"Đường Bà Thau, Xã Tân Kiên, Huyện Bình Chánh, TP.HCM",TP.HCM,Huyện Bình Chánh,Sổ hồng,,125 m²,10.6950833,106.5909297
64,Nhà mặt tiền,1.1,44.0,2,2,0,"Đường 74, Phường 16, Quận 8, TP.HCM",TP.HCM,Quận 8,Sổ hồng,4.0,"44 m²(4,0x11,0)",10.7211158,106.6292079
65,Nhà mặt tiền,8.8,63.5,0,0,0,"103, Đường Bác Ái, Phường Tân Thành, Quận Tân Phú, TP.HCM",TP.HCM,Quận Tân Phú,Sổ hồng,3.7,"63,5 m²(3,7x20,0)",10.7918681,106.6277515
66,Biệt thự,13.5,93.0,8,8,0,"187/37, Đường Bạch Đằng, Phường 2, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,6.2,"93 m²(6,2x15,0)",10.8030931,106.6523519
67,Nhà hẻm ngõ,10.5,54.0,0,0,0,"88/24/10, Đường Phan Sào Nam, Phường 11, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,4.0,"54 m²(4,0x13,5)",10.8030931,106.6523519
68,Nhà hẻm ngõ,24.5,275.0,0,0,0,"46/3-5, Đường Phan Đình Phùng, Phường Tân Thành, Quận Tân Phú, TP.HCM",TP.HCM,Quận Tân Phú,Sổ hồng,12.0,"275 m²(12,0x25,0)",10.7918681,106.6277515
69,Nhà hẻm ngõ,7.9,71.6,0,0,0,"55/10/31, Đường Thành Mỹ, Phường 8, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,5.3,"71,6 m²(5,3x13,5)",10.8030931,106.6523519
70,Nhà mặt tiền,75.0,110.0,0,0,0,"49b, Đường Cao Thắng, Phường 3, Quận 3, TP.HCM",TP.HCM,Quận 3,Sổ hồng,4.2,"110 m²(4,2x25,0)",10.7788914,106.6869967
71,Nhà hẻm ngõ,2.95,24.6,3,2,0,"16/25, Đường Bùi Thế Mỹ, Phường 10, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,3.0,"24,6 m²(3,0x8,5)",10.8030931,106.6523519
72,Nhà hẻm ngõ,11.6,87.5,6,5,0,"107/6, Đường Phạm Phú Thứ, Phường 11, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,5.0,"87,5 m²(5,0x17,5)",10.8030931,106.6523519
73,Nhà hẻm ngõ,8.5,38.5,0,0,0,"48/20, Đường Lam Sơn, Phường 2, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,4.1,"38,5 m²(4,1x10,0)",10.8030931,106.6523519
74,Nhà mặt tiền,29.5,106.1,9,4,4,"923, Đường Hồng Bàng, Phường 9, Quận 6, TP.HCM",TP.HCM,Quận 6,Sổ hồng,8.1,"106,1 m²(8,1x14,0)",10.7458901,106.6391994
75,Nhà mặt tiền,5.25,18.1,0,0,0,"Đường Đồng Xoài, Phường 13, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,4.3,"18,1 m²(4,3x4,2)",10.8030931,106.6523519
76,Nhà mặt tiền,6.6,17.0,0,0,0,"400, Đường Cộng Hòa, Phường 13, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,4.1,"17 m²(4,1x5,0)",10.8030931,106.6523519
77,Nhà hẻm ngõ,17.0,64.0,0,0,0,"41/28, Đường Bàu Cát 8, Phường 13, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,4.0,"64 m²(4,0x16,0)",10.8030931,106.6523519
78,Nhà hẻm ngõ,6.05,52.0,5,5,3,"132/21, Đường 26/3, Phường Bình Hưng Hòa, Quận Bình Tân, TP.HCM",TP.HCM,Quận Bình Tân,Sổ hồng,5.2,"52 m²(5,2x10,0)",10.7704159,106.5995401
79,Nhà hẻm ngõ,6.5,56.0,2,2,0,"354/21, Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, TP.HCM",TP.HCM,Quận Bình Thạnh,Sổ hồng,,56 m²,10.812271,106.7040393
80,Biệt thự,122.0,530.7,8,8,0,"Đường 47, Phường Thảo Điền, TP. Thủ Đức - Quận 2, TP.HCM",TP.HCM,TP. Thủ Đức - Quận 2,Sổ hồng,22.0,"530,7 m²(22,0x24,0)",10.8050147,106.7461236
81,Nhà hẻm ngõ,18.5,65.0,6,6,5,"436B/123, Đường 3 Tháng 2, Phường 12, Quận 10, TP.HCM",TP.HCM,Quận 10,Sổ hồng,3.7,"65 m²(3,7x17,0)",10.7725282,106.6682021
82,Nhà hẻm ngõ,8.1,61.0,4,5,4,"1Y, Đường Lạc Long Quân, Phường 5, Quận 11, TP.HCM",TP.HCM,Quận 11,Sổ hồng,6.0,"61 m²(6,0x12,0)",10.7656343,106.647607
83,Nhà mặt tiền,12.0,120.0,2,4,0,"108 Đường 22, Xã Bình Hưng, Bình Chánh, Hồ Chí Min, Đường 22, Xã Bình Hưng, Huyện Bình Chánh, TP.HCM",TP.HCM,Huyện Bình Chánh,Sổ hồng,6.0,"120 m²(6,0x20,0)",10.6950833,106.5909297
84,Nhà mặt tiền,5.25,58.0,3,2,4,"27, Đường Đồng Xoài, Phường 13, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,4.3,"58 m²(4,3x4,5)",10.8030931,106.6523519
85,Nhà mặt tiền,50.0,111.0,20,20,5,"Đường 42, Phường Tân Quy, Quận 7, TP.HCM",TP.HCM,Quận 7,Sổ hồng,8.5,"111 m²(8,5x15,0)",10.7375669,106.7296597
86,Nhà mặt tiền,31.0,652.6,0,0,0,"168A, Đường Quốc Lộ 1, Phường An Phú Đông, Quận 12, TP.HCM",TP.HCM,Quận 12,Sổ hồng,,"652,6 m²",10.8612653,106.6642083
87,Nhà mặt tiền,0.73,100.0,3,4,0,"Đường Hưng Nhơn, Xã Tân Kiên, Huyện Bình Chánh, TP.HCM",TP.HCM,Huyện Bình Chánh,Sổ hồng,5.0,"100 m²(5,0x20,0)",10.6950833,106.5909297
88,Nhà mặt tiền,95.0,155.0,0,0,2,"120 D, Đường Trần Hưng Đạo, Phường Phạm Ngũ Lão, Quận 1, TP.HCM",TP.HCM,Quận 1,Sổ hồng,5.5,"155 m²(5,5x30,0)",10.7652308,106.6926763
89,Nhà mặt tiền,23.3,78.4,0,0,0,"Phường 7, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,3.6,"78,4 m²(3,6x17,0)",10.8003967,106.6597746
90,Nhà mặt tiền,29.0,44.1,5,6,6,"5, Đường Nguyễn Thiện Thuật, Phường 2, Quận 3, TP.HCM",TP.HCM,Quận 3,Sổ hồng,4.2,"44,1 m²(4,2x10,5)",10.7788914,106.6869967
91,Nhà hẻm ngõ,29.5,256.0,14,0,0,"15/1, Đường 13, Phường An Khánh, TP. Thủ Đức - Quận 2, TP.HCM",TP.HCM,TP. Thủ Đức - Quận 2,Sổ hồng,11.0,"256 m²(11,0x24,0)",10.7632768,106.7016196
92,Nhà hẻm ngõ,12.0,53.3,0,0,5,"435/7/25, Đường Thống Nhất, Phường 11, Quận Gò Vấp, TP.HCM",TP.HCM,Quận Gò Vấp,Sổ hồng,4.1,"53,3 m²(4,1x13,0)",10.8352617,106.6740588
93,Nhà hẻm ngõ,12.0,155.0,0,1,2,"59/14, Đường Lý Chiêu Hoàng, Phường 10, Quận 6, TP.HCM",TP.HCM,Quận 6,Sổ hồng,5.0,"155 m²(5,0x23,0)",10.7458901,106.6391994
94,Nhà hẻm ngõ,5.55,60.0,3,4,4,"Thị Trấn Nhà Bè, Huyện Nhà Bè, TP.HCM",TP.HCM,Huyện Nhà Bè,Sổ hồng,5.0,"60 m²(5,0x12,0)",10.6509356,106.7259486
95,Nhà hẻm ngõ,4.75,58.0,0,0,0,"Đường số 7, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",TP.HCM,TP. Thủ Đức - Quận Thủ Đức,Sổ hồng,,58 m²,10.8450851,106.7677355
96,Nhà mặt tiền,210.0,5564.0,0,0,0,"Đường 12, Phường Trường Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",TP.HCM,TP. Thủ Đức - Quận Thủ Đức,Sổ hồng,,5.564 m²,10.8267881,106.7535164
97,Nhà mặt tiền,,49.7,3,1,0,"Đường Nguyễn Tư Giản, Phường 12, Quận Gò Vấp, TP.HCM",TP.HCM,Quận Gò Vấp,Sổ hồng,4.0,"49,7 m²(4,0x12,0)",10.8352617,106.6740588
98,Biệt thự,81.0,432.0,4,6,3,"TP. Thủ Đức - Quận 9, TP.HCM",TP.HCM,TP. Thủ Đức - Quận 9,Sổ hồng,,432 m²,10.8063168,106.7784645
99,Nhà hẻm ngõ,33.0,160.0,4,6,4,"101/62, Đường Nguyễn Chí Thanh, Phường 9, Quận 5, TP.HCM",TP.HCM,Quận 5,Sổ hồng,8.0,"160 m²(8,0x20,0)",10.7558252,106.6683021
100,Nhà mặt tiền,9.6,166.0,3,4,0,"Đường Trung Mỹ Tây 4, Xã Trung Chánh, Huyện Hóc Môn, TP.HCM",TP.HCM,Huyện Hóc Môn,Sổ hồng,5.0,166 m²(5.0x33.0),10.8777329,106.5760523
101,Biệt thự,14.3,164.0,0,0,0,"Đường Nguyễn Thị Định, Phường Bình Trưng Tây, TP. Thủ Đức - Quận 2, TP.HCM",TP.HCM,TP. Thủ Đức - Quận 2,Sổ hồng,,164 m²,10.7632768,106.7016196
102,Nhà hẻm ngõ,1.99,42.0,2,3,0,"Đường Đinh Bộ Lĩnh, Phường 1, Quận Bình Thạnh, TP.HCM",TP.HCM,Quận Bình Thạnh,Sổ hồng,3.7,"42 m²(3,7x11,5)",10.812271,106.7040393
103,Nhà hẻm ngõ,2.09,58.0,2,3,0,"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",TP.HCM,TP. Thủ Đức - Quận Thủ Đức,Sổ hồng,4.2,"58 m²(4,2x14,0)",10.8450851,106.7677355
104,Nhà hẻm ngõ,2.15,41.0,4,4,0,"Đường Yên Thế, Phường 2, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,4.8,41 m²(4.8x8.5),10.8030931,106.6523519
105,Nhà hẻm ngõ,12.2,73.0,0,0,4,"305/A, Đường Lê Văn Sỹ, Phường 1, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,,73 m²,10.8030931,106.6523519
106,Nhà mặt tiền,43.0,1553.0,0,0,0,"Đường Phan Đình Phùng, Phường 17, Quận Phú Nhuận, TP.HCM",TP.HCM,Quận Phú Nhuận,Sổ hồng,9.0,155.3 m²(9.0x16.0),10.8010601,106.6798946
107,Nhà mặt tiền,25.0,61.0,0,0,0,"Đường Vườn Chuối, Phường 4, Quận 3, TP.HCM",TP.HCM,Quận 3,Sổ hồng,6.1,"61 m²(6,1x10,0)",10.7788914,106.6869967
108,Nhà mặt tiền,50.0,220.0,0,0,0,"Đường K300, Phường 12, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,11.0,220 m² (11.0x20.0),10.8030931,106.6523519
109,"Biệt thự, Villa",40.0,160.0,4,4,0,"Đường Bùi Tá Hán, Phường An Phú, TP. Thủ Đức - Quận 2, TP.HCM",TP.HCM,TP. Thủ Đức - Quận 2,Sổ hồng,10.0,160 m² (10.0x16.0),10.7632768,106.7016196
110,Biệt thự,95.0,4.9,4,4,0,"Đường Long Thuận, Phường Long Phước, TP. Thủ Đức - Quận 9, TP.HCM",TP.HCM,TP. Thủ Đức - Quận 9,Sổ hồng,,"4,900 m²",10.8063168,106.7784645
111,Nhà hẻm ngõ,35.0,147.0,4,4,0,"Đường Bạch Đằng, Phường 2, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,9.0,147 m²(9.0x18.0),10.8030931,106.6523519
112,Nhà hẻm ngõ,17.5,65.0,0,0,2,"Đường Trần Quang Diệu, Phường 14, Quận 3, TP.HCM",TP.HCM,Quận 3,Sổ hồng,,65 m²,10.7788914,106.6869967
