address,area,city_province,district,front_road_width,interior,latitude,legal,longitude,n_bathrooms,n_bedrooms,n_floors,price,property_type,source,has_interior_info,price_per_m2
"Dự án The Pride, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội",103.0,Hà Nội,Hà Đông,0.0,Nội thất đầy đủ,20.9760161942439,Sổ riêng,105.761679104069,3.0,3.0,4.0,7.9,Chung cư,batdongsancomvn,1,76.69902912621359
"The Sapphire-Vinhomes Smart City, Tây Mỗ, Nam Từ Liêm, Hà Nội",54.0,Hà Nội,Nam Từ Liêm,0.0,,21.0064846643017,Sổ riêng,105.736335420012,2.0,2.0,4.0,4.7,Chung cư,batdongsancomvn,0,87.03703703703704
"Dự án Mỹ Đình I, Đường Trần Hữu Dực, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",108.0,Hà Nội,Nam Từ Liêm,0.0,Nội thất đầy đủ,21.034513939497696,Sổ riêng,105.76367071485647,2.0,3.0,4.0,8.5,Chung cư,batdongsancomvn,1,78.70370370370371
"Dự án The K Park, Đường Lê Trọng Tấn, Phường Phú La, Hà Đông, Hà Nội",83.2,Hà Nội,Hà Đông,0.0,Nội thất đầy đủ,20.959400912206075,Sổ riêng,105.79184462549654,2.0,3.0,4.0,7.5,Chung cư,batdongsancomvn,1,90.14423076923076
"Dự án Orient Apartment, Đường Bến Vân Đồn, Phường 1, Quận 4, Hồ Chí Minh",99.0,Hồ Chí Minh,Quận 4,0.0,Nội thất cơ bản,10.757698837175706,Sổ riêng,106.69254179446654,3.0,3.0,2.0,5.9,Chung cư,batdongsancomvn,1,59.5959595959596
"Dự án The Sapphire 2 - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội",55.0,Hà Nội,Gia Lâm,0.0,Nội thất đầy đủ,20.9903914119972,Sổ riêng,105.940413123295,1.0,2.0,4.0,3.72,Chung cư,batdongsancomvn,1,67.63636363636364
"Dự án MT Eastmark City, Phường Long Trường, Quận 9, Hồ Chí Minh",73.0,Hồ Chí Minh,Quận 9,0.0,Nội thất đầy đủ,10.8007107821868,Sổ riêng,106.821817856633,2.0,2.0,2.0,3.75,Chung cư,batdongsancomvn,1,51.36986301369863
"Dự án Sunshine City, Đường Phạm Văn Đồng, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",104.7,Hà Nội,Bắc Từ Liêm,0.0,Nội thất đầy đủ,21.08426435649132,Sổ riêng,105.7910729450021,2.0,3.0,4.0,10.5,Chung cư,batdongsancomvn,1,100.2865329512894
"Dự án The Origami, Đường Phước Thiện, Phường Long Bình, Quận 9, Hồ Chí Minh",81.0,Hồ Chí Minh,Quận 9,0.0,Nội thất cơ bản,10.8435620583104,Sổ riêng,106.842995575832,2.0,3.0,2.0,3.7,Chung cư,batdongsancomvn,1,45.67901234567901
"Dự án The Zenpark, Đường Đông Dư, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",49.0,Hà Nội,Gia Lâm,0.0,Nội thất đầy đủ,21.001970603505523,Sổ riêng,105.9424611764818,1.0,1.0,4.0,3.99,Chung cư,batdongsancomvn,1,81.42857142857143
"Sài Gòn Intela, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh",55.0,Hồ Chí Minh,Bình Chánh,0.0,Nội thất cơ bản,10.7093601717892,Không có,106.642264367857,2.0,2.0,2.0,2.15,Chung cư,batdongsancomvn,1,39.09090909090909
"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",62.8,Hà Nội,Nam Từ Liêm,0.0,Nội thất đầy đủ,21.0062486608424,Sổ riêng,105.736884051439,2.0,2.0,4.0,5.5,Chung cư,batdongsancomvn,1,87.57961783439491
"Dự án Vinhomes D'Capitale, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",70.0,Hà Nội,Cầu Giấy,0.0,Nội thất đầy đủ,21.0057373290035,Sổ riêng,105.794345930199,2.0,2.0,4.0,8.6,Chung cư,batdongsancomvn,1,122.85714285714286
"Dự án Kiều by KITA, Đường Trần Hưng Đạo, Phường 1, Quận 5, Hồ Chí Minh",143.0,Hồ Chí Minh,Quận 5,0.0,Nội thất đầy đủ,10.7536518288404,Sổ riêng,106.67835654689,3.0,3.0,2.0,22.0,Chung cư,batdongsancomvn,1,153.84615384615384
"Dự án Eco Green Sài Gòn, Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",95.0,Hồ Chí Minh,Quận 7,0.0,Nội thất đầy đủ,10.7506174958708,Không có,106.723490821411,2.0,3.0,2.0,8.2,Chung cư,batdongsancomvn,1,86.3157894736842
"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",67.0,Hồ Chí Minh,Quận 7,0.0,Nội thất cơ bản,10.7175155156102,Không có,106.742067543186,2.0,2.0,2.0,3.5,Chung cư,batdongsancomvn,1,52.23880597014925
