,property_type,price,area,area_unit,n_bedrooms,n_bathrooms,n_floors,dimension_2,address,city_province,district,legal_docs,facing_direction,front_width,balcony_direction,raw_price,raw_area,raw_n_bedrooms,raw_n_bathrooms,scraper
2740,Nhà mặt tiền,9.8,67.4,m²,7.0,7.0,5.0,,"Phường 3, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,,,9.8,"67,4 m²",7 phòng,7 WC,Thiên
2741,Nhà hẻm ngõ,2.5,334.0,m²,2.0,1.0,1.0,40.0,"Xã Lộc An, Huyện Bảo Lâm, Lâm Đồng",Lâm Đồng,Huyện Bảo Lâm,Giấy tờ hợp lệ,Tây,10.0,,2.5,"334 m²(10,0x40,0)",2 phòng,1 WC,Thiên
2742,Nhà mặt tiền,2.7,144.0,m²,2.0,1.0,,24.0,"Xã Lộc Thành, Huyện Bảo Lâm, Lâm Đồng",Lâm Đồng,Huyện Bảo Lâm,Giấy tờ hợp lệ,Đông,6.0,,2.7,"144 m²(6,0x24,0)",2 phòng,1 WC,Thiên
2743,Biệt thự,22.0,220.3,m²,10.0,7.0,5.0,,"Phường 10, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,,,22.0,"220,3 m²",10 phòng,7 WC,Thiên
2744,Nhà mặt tiền,13.8,58.1,m²,5.0,5.0,5.0,,"Phường 2, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,,,13.8,"58,1 m²",5 phòng,5 WC,Thiên
2745,Biệt thự,18.3,311.0,m²,5.0,6.0,2.0,20.0,"Phường 11, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Nam,10.0,,18.3,"311 m²(10,0x20,0)",5 phòng,6 WC,Thiên
2746,Nhà mặt tiền,15.5,980.0,m²,,,,70.0,"Đường ĐT 725, Xã Tân Hà, Huyện Lâm Hà, Lâm Đồng",Lâm Đồng,Huyện Lâm Hà,Sổ hồng,,14.0,,15.5,"980 m²(14,0x70,0)",,,Thiên
2747,Nhà mặt tiền,14.0,228.0,m²,3.0,2.0,1.0,22.0,"Phường 8, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,10.5,,14.0,"228 m²(10,5x22,0)",3 phòng,2 WC,Thiên
2748,Nhà mặt tiền,5.5,1500.0,m²,3.0,2.0,,100.0,"Lộc Châu, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,Tây,15.0,,5.5,"1.500 m²(15,0x100,0)",3 phòng,2 WC,Thiên
2749,Nhà hẻm ngõ,4.7,600.0,m²,3.0,2.0,1.0,40.0,"Phường Lộc Tiến, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,Đông,15.0,,4.7,"600 m²(15,0x40,0)",3 phòng,2 WC,Thiên
2750,Biệt thự,13.5,276.0,m²,11.0,7.0,4.0,,"Phường 5, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,,,13.5,276 m²,11 phòng,7 WC,Thiên
2751,Biệt thự,69.0,460.7,m²,4.0,5.0,2.0,27.0,"Đường Măng Lin, Phường 7, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Sổ hồng,,17.0,,69.0,"460,7 m²(17,0x27,0)",4 phòng,5 WC,Thiên
2752,Nhà mặt tiền,20.0,133.0,m²,11.0,7.0,5.0,,"Phường 5, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,,,20.0,133 m²,11 phòng,7 WC,Thiên
2753,Nhà mặt tiền,36.0,179.0,m²,5.0,6.0,5.0,,"Phường 3, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,,,36.0,179 m²,5 phòng,6 WC,Thiên
2754,Nhà mặt tiền,27.0,98.0,m²,5.0,3.0,4.0,,"Phường 6, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,,,27.0,98 m²,5 phòng,3 WC,Thiên
2755,Biệt thự,14.0,294.3,m²,4.0,4.0,3.0,,"Phường 10, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,,,14.0,"294,3 m²",4 phòng,4 WC,Thiên
2756,Nhà mặt tiền,12.0,100.9,m²,5.0,6.0,,17.7,"Phường 6, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Sổ đỏ,,5.7,,12.0,"100,9 m²(5,7x17,7)",5 phòng,6 WC,Thiên
2757,Nhà mặt tiền,7.5,107.0,m²,2.0,1.0,1.0,20.0,"Đường Thái Phiên, Phường 12, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Sổ hồng,Đông Nam,5.0,Đông Nam,7.5,"107 m²(5,0x20,0)",2 phòng,1 WC,Thiên
2758,Nhà mặt tiền,14.8,75.2,m²,4.0,3.0,3.0,,"Phường 2, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,,,14.8,"75,2 m²",4 phòng,3 WC,Thiên
2759,Nhà mặt tiền,10.0,66.6,m²,7.0,7.0,5.0,,"Phường 6, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông,,,10.0,"66,6 m²",7 phòng,7 WC,Thiên
2760,Biệt thự,52.0,756.5,m²,10.0,7.0,2.0,,"Phường 3, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Bắc,,,52.0,"756,5 m²",10 phòng,7 WC,Thiên
2761,Biệt thự,16.8,1513.0,m²,3.0,4.0,1.0,49.0,"Xã Đại Lào, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,Tây Nam,29.0,,16.8,"1.513 m²(29,0x49,0)",3 phòng,4 WC,Thiên
2762,Biệt thự,16.0,1687.0,m²,11.0,7.0,1.0,63.0,"Phường 5, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Tây Nam,12.0,,16.0,"1.687 m²(12,0x63,0)",11 phòng,7 WC,Thiên
2763,Nhà mặt tiền,6.5,300.0,m²,5.0,2.0,2.0,20.0,"Phường BLao, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,Nam,15.0,,6.5,"300 m²(15,0x20,0)",5 phòng,2 WC,Thiên
2764,Biệt thự,12.5,735.0,m²,5.0,3.0,3.0,,"Phường BLao, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,Tây,,,12.5,735 m²,5 phòng,3 WC,Thiên
2765,Nhà mặt tiền,3.74,322.0,m²,2.0,1.0,1.0,28.0,"Lộc Châu, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,Nam,11.0,,3.74,"322 m²(11,0x28,0)",2 phòng,1 WC,Thiên
2766,Nhà hẻm ngõ,4.15,94.0,m²,2.0,1.0,,,"Phường 4, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Nam,,,4.15,94 m²,2 phòng,1 WC,Thiên
2767,Nhà mặt tiền,8.6,62.0,m²,7.0,,3.0,,"Phường 4, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,,,8.6,62 m²,7 phòng,,Thiên
2768,Nhà mặt tiền,1.65,429.0,m²,3.0,2.0,,35.0,"Đường DT725, Xã Mê Linh, Huyện Lâm Hà, Lâm Đồng",Lâm Đồng,Huyện Lâm Hà,Sổ hồng,Nam,11.0,,1.65,"429 m²(11,0x35,0)",3 phòng,2 WC,Thiên
2769,Nhà hẻm ngõ,2.2,80.0,m²,2.0,2.0,2.0,16.0,"Phường 1, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,,5.0,,2.2,"80 m²(5,0x16,0)",2 phòng,2 WC,Thiên
2770,Nhà hẻm ngõ,7.8,500.0,m²,3.0,2.0,1.0,40.0,"Phường Lộc Sơn, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,Đông,12.5,,7.8,"500 m²(12,5x40,0)",3 phòng,2 WC,Thiên
2771,Nhà hẻm ngõ,3.2,369.0,m²,2.0,,,30.0,"Phường Lộc Tiến, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,Tây Bắc,13.7,,3.2,"369 m²(13,7x30,0)",2 phòng,,Thiên
2772,Nhà hẻm ngõ,5.5,245.0,m²,3.0,2.0,,24.0,"Phường 2, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,Bắc,8.0,,5.5,"245 m²(8,0x24,0)",3 phòng,2 WC,Thiên
2773,Nhà hẻm ngõ,2.3,196.4,m²,3.0,2.0,2.0,24.0,"Xã Lộc An, Huyện Bảo Lâm, Lâm Đồng",Lâm Đồng,Huyện Bảo Lâm,Giấy tờ hợp lệ,Đông,8.5,,2.3,"196,4 m²(8,5x24,0)",3 phòng,2 WC,Thiên
2774,Nhà mặt tiền,4.5,137.0,m²,2.0,1.0,1.0,29.0,"Phường 2, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,Bắc,5.0,,4.5,"137 m²(5,0x29,0)",2 phòng,1 WC,Thiên
2775,Biệt thự,16.8,165.6,m²,9.0,7.0,3.0,16.0,"Phường BLao, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,Tây,8.8,,16.8,"165,6 m²(8,8x16,0)",9 phòng,7 WC,Thiên
2776,Nhà mặt tiền,6.5,100.0,m²,5.0,,3.0,20.0,"Phường 1, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,Bắc,5.0,,6.5,"100 m²(5,0x20,0)",5 phòng,,Thiên
2777,Nhà mặt tiền,8.2,156.5,m²,2.0,1.0,1.0,35.0,"Phường Lộc Tiến, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,Đông Nam,5.8,,8.2,"156,5 m²(5,8x35,0)",2 phòng,1 WC,Thiên
2778,Biệt thự,4.7,194.0,m²,4.0,4.0,1.0,15.5,"Phường 1, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,Tây Nam,13.3,,4.7,"194 m²(13,3x15,5)",4 phòng,4 WC,Thiên
2779,Nhà mặt tiền,2.8,72.0,m²,2.0,1.0,1.0,13.3,"Phường 2, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,Nam,5.4,,2.8,"72 m²(5,4x13,3)",2 phòng,1 WC,Thiên
2780,Nhà hẻm ngõ,9.5,13800.0,m²,2.0,1.0,,,"Xã Lộc Thành, Huyện Bảo Lâm, Lâm Đồng",Lâm Đồng,Huyện Bảo Lâm,Giấy tờ hợp lệ,,,,9.5,13.800 m²,2 phòng,1 WC,Thiên
2781,Nhà mặt tiền,4.9,217.5,m²,4.0,1.0,1.0,30.0,"Phường BLao, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,Đông Nam,7.5,,4.9,"217,5 m²(7,5x30,0)",4 phòng,1 WC,Thiên
2782,Nhà hẻm ngõ,5.5,57.0,m²,5.0,2.0,2.0,14.0,"Phường 9, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Tây Nam,3.5,,5.5,"57 m²(3,5x14,0)",5 phòng,2 WC,Thiên
2783,Nhà hẻm ngõ,5.8,75.0,m²,3.0,3.0,2.0,12.0,"Phường 4, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Nam,6.0,,5.8,"75 m²(6,0x12,0)",3 phòng,3 WC,Thiên
2784,Nhà hẻm ngõ,5.9,66.0,m²,5.0,4.0,3.0,13.7,"Phường 10, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Tây Nam,4.5,,5.9,"66 m²(4,5x13,7)",5 phòng,4 WC,Thiên
2785,Nhà hẻm ngõ,5.8,82.0,m²,1.0,1.0,,21.0,"Phường 8, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Bắc,3.9,,5.8,"82 m²(3,9x21,0)",1 phòng,1 WC,Thiên
2786,Nhà hẻm ngõ,5.4,60.0,m²,2.0,2.0,,,"Phường 4, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông,,,5.4,60 m²,2 phòng,2 WC,Thiên
2787,Nhà hẻm ngõ,6.5,511.0,m²,3.0,1.0,,41.0,"Lộc Châu, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,Nam,13.0,,6.5,"511 m²(13,0x41,0)",3 phòng,1 WC,Thiên
2788,Nhà hẻm ngõ,5.9,58.0,m²,5.0,3.0,2.0,8.0,"Phường 2, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Nam,6.5,,5.9,"58 m²(6,5x8,0)",5 phòng,3 WC,Thiên
2789,Nhà hẻm ngõ,5.1,65.0,m²,2.0,1.0,,12.0,"Phường 4, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Bắc,6.0,,5.1,"65 m²(6,0x12,0)",2 phòng,1 WC,Thiên
2790,Nhà hẻm ngõ,5.6,111.0,m²,2.0,,2.0,20.0,"Phường 4, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Nam,4.6,,5.6,"111 m²(4,6x20,0)",2 phòng,,Thiên
2791,Nhà mặt tiền,2.65,141.0,m²,2.0,2.0,,23.5,"Phường Lộc Tiến, TP. Bảo Lộc, Lâm Đồng",Lâm Đồng,TP. Bảo Lộc,Giấy tờ hợp lệ,,6.0,,2.65,"141 m²(6,0x23,5)",2 phòng,2 WC,Thiên
2792,Nhà mặt tiền,5.9,50.0,m²,2.0,2.0,1.0,12.0,"Phường 6, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,4.0,,5.9,"50 m²(4,0x12,0)",2 phòng,2 WC,Thiên
2793,Nhà hẻm ngõ,5.5,73.0,m²,3.0,2.0,,12.0,"Phường 6, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Nam,6.2,,5.5,"73 m²(6,2x12,0)",3 phòng,2 WC,Thiên
2794,Nhà hẻm ngõ,5.9,73.0,m²,3.0,,1.0,15.0,"Phường 3, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Tây Nam,4.0,,5.9,"73 m²(4,0x15,0)",3 phòng,,Thiên
2795,Nhà hẻm ngõ,5.7,46.0,m²,3.0,4.0,3.0,7.0,"Phường 9, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Bắc,6.8,,5.7,"46 m²(6,8x7,0)",3 phòng,4 WC,Thiên
2796,Nhà hẻm ngõ,5.0,65.0,m²,2.0,2.0,1.0,10.0,"Phường 6, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Tây Nam,6.5,,5.0,"65 m²(6,5x10,0)",2 phòng,2 WC,Thiên
2797,Nhà hẻm ngõ,5.99,71.0,m²,6.0,4.0,2.0,5.7,"Phường 5, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Bắc,5.3,,5.99,"71 m²(5,3x5,7)",6 phòng,4 WC,Thiên
2798,Nhà mặt tiền,5.8,75.0,m²,3.0,3.0,2.0,12.0,"Phường 4, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Nam,6.0,,5.8,"75 m²(6,0x12,0)",3 phòng,3 WC,Thiên
2799,Nhà mặt tiền,5.6,113.0,m²,3.0,1.0,,20.0,"Phường 12, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Bắc,5.0,,5.6,"113 m²(5,0x20,0)",3 phòng,1 WC,Thiên
2800,Nhà hẻm ngõ,5.5,64.0,m²,3.0,2.0,1.0,11.0,"Phường 4, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Tây,6.0,,5.5,"64 m²(6,0x11,0)",3 phòng,2 WC,Thiên
2801,Nhà hẻm ngõ,5.5,87.0,m²,3.0,3.0,1.0,12.0,"Phường 4, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Bắc,6.0,,5.5,"87 m²(6,0x12,0)",3 phòng,3 WC,Thiên
2802,Nhà mặt tiền,5.5,84.0,m²,3.0,2.0,1.0,11.0,"Phường 2, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Nam,7.6,,5.5,"84 m²(7,6x11,0)",3 phòng,2 WC,Thiên
2803,Nhà hẻm ngõ,5.8,90.0,m²,4.0,4.0,3.0,15.0,"Phường 9, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Nam,6.0,,5.8,"90 m²(6,0x15,0)",4 phòng,4 WC,Thiên
2804,Nhà hẻm ngõ,5.8,112.0,m²,2.0,2.0,,20.0,"Phường 4, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Tây,5.3,,5.8,"112 m²(5,3x20,0)",2 phòng,2 WC,Thiên
2805,Nhà hẻm ngõ,5.5,40.0,m²,4.0,3.0,2.0,10.0,"Phường 8, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Tây Nam,4.2,,5.5,"40 m²(4,2x10,0)",4 phòng,3 WC,Thiên
2806,Nhà hẻm ngõ,5.6,70.0,m²,3.0,,2.0,12.0,"Phường 5, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,6.0,,5.6,"70 m²(6,0x12,0)",3 phòng,,Thiên
2807,Nhà hẻm ngõ,5.75,87.0,m²,2.0,,,9.5,"Phường 9, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Bắc,9.0,,5.75,"87 m²(9,0x9,5)",2 phòng,,Thiên
2808,Nhà hẻm ngõ,5.5,100.0,m²,4.0,5.0,2.0,22.0,"Phường 5, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Tây,4.5,,5.5,"100 m²(4,5x22,0)",4 phòng,5 WC,Thiên
2809,Nhà mặt tiền,4.8,73.0,m²,2.0,2.0,,17.0,"Phường 10, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Bắc,4.4,,4.8,"73 m²(4,4x17,0)",2 phòng,2 WC,Thiên
2810,Nhà hẻm ngõ,4.5,119.0,m²,3.0,3.0,,14.7,"Phường 4, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Tây,8.5,,4.5,"119 m²(8,5x14,7)",3 phòng,3 WC,Thiên
2811,Nhà hẻm ngõ,5.5,84.0,m²,3.0,2.0,1.0,11.0,"Phường 2, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,7.0,,5.5,"84 m²(7,0x11,0)",3 phòng,2 WC,Thiên
2812,Nhà hẻm ngõ,5.54,66.0,m²,3.0,3.0,1.0,14.4,"Phường 4, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Tây,4.4,,5.54,"66 m²(4,4x14,4)",3 phòng,3 WC,Thiên
2813,Nhà hẻm ngõ,4.5,48.0,m²,4.0,3.0,2.0,12.0,"Phường 6, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,4.0,,4.5,"48 m²(4,0x12,0)",4 phòng,3 WC,Thiên
2814,Nhà hẻm ngõ,5.2,110.0,m²,3.0,2.0,1.0,7.0,"Phường 12, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Nam,14.0,,5.2,"110 m²(14,0x7,0)",3 phòng,2 WC,Thiên
2815,Nhà hẻm ngõ,5.65,134.0,m²,2.0,2.0,1.0,16.0,"Phường 4, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Tây Nam,15.0,,5.65,"134 m²(15,0x16,0)",2 phòng,2 WC,Thiên
2816,Nhà hẻm ngõ,6.2,100.0,m²,5.0,6.0,,20.0,"Phường 11, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,5.0,,6.2,"100 m²(5,0x20,0)",5 phòng,6 WC,Thiên
2817,Nhà hẻm ngõ,5.5,158.0,m²,3.0,2.0,,13.0,"Phường 4, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Tây Bắc,9.0,,5.5,"158 m²(9,0x13,0)",3 phòng,2 WC,Thiên
2818,Nhà hẻm ngõ,4.7,28.0,m²,2.0,2.0,1.0,8.0,"Phường 2, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Tây Bắc,3.5,,4.7,"28 m²(3,5x8,0)",2 phòng,2 WC,Thiên
2819,Nhà hẻm ngõ,4.2,60.0,m²,3.0,3.0,2.0,14.0,"Phường 9, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Bắc,4.0,,4.2,"60 m²(4,0x14,0)",3 phòng,3 WC,Thiên
2820,Nhà hẻm ngõ,1.3,1000.0,m²,2.0,2.0,,35.0,"Xã Tà Nung, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,30.0,,1.3,"1.000 m²(30,0x35,0)",2 phòng,2 WC,Thiên
2821,Nhà hẻm ngõ,4.35,71.0,m²,4.0,3.0,1.0,5.0,"Phường 6, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Bắc,15.2,,4.35,"71 m²(15,2x5,0)",4 phòng,3 WC,Thiên
2822,Nhà hẻm ngõ,5.15,108.0,m²,3.0,2.0,1.0,23.0,"Phường 6, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Nam,4.5,,5.15,"108 m²(4,5x23,0)",3 phòng,2 WC,Thiên
2823,Nhà hẻm ngõ,4.5,55.0,m²,3.0,1.0,1.0,14.0,"Phường 9, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Tây,4.1,,4.5,"55 m²(4,1x14,0)",3 phòng,1 WC,Thiên
2824,Nhà hẻm ngõ,4.2,60.0,m²,5.0,6.0,2.0,17.0,"Phường 6, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Tây Bắc,3.5,,4.2,"60 m²(3,5x17,0)",5 phòng,6 WC,Thiên
2825,Nhà hẻm ngõ,4.8,70.0,m²,3.0,1.0,1.0,13.0,"Phường 2, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Tây,5.0,,4.8,"70 m²(5,0x13,0)",3 phòng,1 WC,Thiên
2826,Nhà hẻm ngõ,5.2,66.0,m²,3.0,3.0,,11.0,"Phường 10, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Nam,6.2,,5.2,"66 m²(6,2x11,0)",3 phòng,3 WC,Thiên
2827,Nhà hẻm ngõ,4.65,67.0,m²,5.0,3.0,,15.0,"Phường 9, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Nam,4.5,,4.65,"67 m²(4,5x15,0)",5 phòng,3 WC,Thiên
2828,Nhà hẻm ngõ,4.1,65.0,m²,3.0,,,10.0,"Phường 6, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,5.5,,4.1,"65 m²(5,5x10,0)",3 phòng,,Thiên
2829,Nhà hẻm ngõ,4.5,34.0,m²,3.0,3.0,3.0,12.0,"Phường 6, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Bắc,3.0,,4.5,"34 m²(3,0x12,0)",3 phòng,3 WC,Thiên
2830,Nhà hẻm ngõ,4.0,85.0,m²,3.0,2.0,,19.0,"Phường 9, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Tây Bắc,4.5,,4.0,"85 m²(4,5x19,0)",3 phòng,2 WC,Thiên
2831,Nhà hẻm ngõ,5.5,157.0,m²,1.0,,,21.0,"Phường 12, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,8.0,,5.5,"157 m²(8,0x21,0)",1 phòng,,Thiên
2832,Nhà hẻm ngõ,4.7,70.0,m²,4.0,4.0,2.0,16.5,"Phường 5, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Nam,4.6,,4.7,"70 m²(4,6x16,5)",4 phòng,4 WC,Thiên
2833,Nhà hẻm ngõ,4.1,100.0,m²,2.0,,1.0,20.0,"Phường 7, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,Đông Bắc,5.0,,4.1,"100 m²(5,0x20,0)",2 phòng,,Thiên
2834,Nhà hẻm ngõ,3.7,88.0,m²,3.0,3.0,,18.0,"Phường 3, TP. Đà Lạt, Lâm Đồng",Lâm Đồng,TP. Đà Lạt,Giấy tờ hợp lệ,,5.0,,3.7,"88 m²(5,0x18,0)",3 phòng,3 WC,Thiên
