,property_type,price,area,area_unit,n_bedrooms,n_bathrooms,n_floors,dimension_2,address,city_province,district,legal_docs,facing_direction,front_width,balcony_direction,raw_price,raw_area,raw_n_bedrooms,raw_n_bathrooms,scraper
1818,Nhà mặt tiền,5.95,80.0,m²,5.0,4.0,3.0,16.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Nam,5.0,,5.95,"80 m²(5,0x16,0)",5 phòng,4 WC,Thiên
1819,Biệt thự,9.0,300.0,m²,4.0,4.0,2.0,35.0,"Phường An Thới, Quận Bình Thuỷ, Cần Thơ",Cần Thơ,Quận Bình Thuỷ,Giấy tờ hợp lệ,Đông Nam,8.5,,9.0,"300 m²(8,5x35,0)",4 phòng,4 WC,Thiên
1820,Nhà mặt tiền,5.75,90.0,m²,4.0,4.0,4.0,18.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Nam,5.0,,5.75,"90 m²(5,0x18,0)",4 phòng,4 WC,Thiên
1821,Nhà mặt tiền,5.99,100.0,m²,4.0,4.0,3.0,20.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Bắc,5.0,,5.99,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
1822,Nhà mặt tiền,2.5,70.0,m²,3.0,2.0,1.0,17.5,"Phường Phú Thứ, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Nam,4.0,,2.5,"70 m²(4,0x17,5)",3 phòng,2 WC,Thiên
1823,Nhà hẻm ngõ,4.1,250.0,m²,2.0,1.0,1.0,50.0,"54/10, Đường Hồ Trung Thành, Phường Trà An, Quận Bình Thuỷ, Cần Thơ",Cần Thơ,Quận Bình Thuỷ,Sổ đỏ,Tây Nam,5.0,Tây Nam,4.1,"250 m²(5,0x50,0)",2 phòng,1 WC,Thiên
1824,Nhà mặt tiền,13.0,73.9,m²,2.0,2.0,,,"Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,,,13.0,"73,9 m²",2 phòng,2 WC,Thiên
1825,Nhà hẻm ngõ,2.78,48.4,m²,2.0,2.0,2.0,11.0,"Phường An Cư, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,4.5,,2.78,"48,4 m²(4,5x11,0)",2 phòng,2 WC,Thiên
1826,Nhà hẻm ngõ,2.59,43.6,m²,2.0,2.0,1.0,6.3,"Phường Thới Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Nam,6.8,,2.59,"43,6 m²(6,8x6,3)",2 phòng,2 WC,Thiên
1827,Nhà hẻm ngõ,2.48,74.0,m²,2.0,1.0,1.0,19.0,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Nam,4.0,,2.48,"74 m²(4,0x19,0)",2 phòng,1 WC,Thiên
1828,Nhà mặt tiền,5.5,80.0,m²,4.0,4.0,3.0,14.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Nam,5.7,,5.5,"80 m²(5,7x14,0)",4 phòng,4 WC,Thiên
1829,Nhà mặt tiền,8.3,77.0,m²,5.0,5.0,3.0,17.3,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,4.5,,8.3,"77 m²(4,5x17,3)",5 phòng,5 WC,Thiên
1830,Nhà hẻm ngõ,3.65,44.5,m²,3.0,3.0,3.0,4.5,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Nam,9.8,,3.65,"44,5 m²(9,8x4,5)",3 phòng,3 WC,Thiên
1831,Nhà hẻm ngõ,4.2,100.0,m²,4.0,4.0,3.0,20.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,,5.0,,4.2,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
1832,Nhà mặt tiền,6.8,100.0,m²,4.0,4.0,4.0,20.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Nam,5.0,,6.8,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
